tags,uploader,view_count_average,view_count,negative_video_uploads,duration,comment_count
byreddy siddharth reddy,ABN,10851.619158878504,4644493.0,316,138445.0,4253.0
byreddy siddharth reddy,Sakshi,47943.21529745043,16923955.0,110,216797.0,19840.0
byreddy siddharth reddy,TV5,9095.088679245284,4820397.0,334,120667.0,6391.0
byreddy siddharth reddy,TV9,9641.593186372746,4811155.0,331,151254.0,6606.0
chandrababu,ABN,16764.15243902439,27493210.0,1085,1772418.0,25357.0
chandrababu,Sakshi,40350.81310608287,137313817.0,1828,4050903.0,237529.0
chandrababu,TV5,34734.55299976286,146475610.0,2202,10001857.0,135838.0
chandrababu,TV9,16309.04578313253,27073016.0,1123,1003452.0,25182.0
cm jagan,ABN,18265.74726688103,28403237.0,1217,1580664.0,25748.0
cm jagan,Sakshi,54282.60485958972,272552959.0,1280,6453350.0,310465.0
cm jagan,TV5,35762.82732543484,141871136.0,2552,10388377.0,144353.0
cm jagan,TV9,15187.004919184821,21611108.0,616,975069.0,19763.0
gorantla ,ABN,8378.959064327486,1432802.0,131,54743.0,1659.0
gorantla ,Sakshi,49621.464566929135,6301926.0,56,219592.0,12161.0
gorantla ,TV5,28260.72131147541,6895616.0,134,944971.0,6692.0
gorantla ,TV9,13437.39416058394,1840923.0,81,26717.0,1048.0
gudivada amarnath,ABN,9673.083333333334,1044693.0,73,45203.0,750.0
gudivada amarnath,Sakshi,19043.228260869564,5255931.0,70,611086.0,13818.0
gudivada amarnath,TV5,29641.354838709678,5513292.0,106,92804.0,6715.0
gudivada amarnath,TV9,22502.56796116505,4635529.0,105,43184.0,5498.0
high court,ABN,13494.81157635468,10957787.0,591,491955.0,8920.0
high court,Sakshi,29126.08088235294,3961147.0,57,71769.0,5021.0
high court,TV5,25828.638352638354,20068852.0,504,1135758.0,14984.0
high court,TV9,9822.128390596745,5431637.0,374,104102.0,2976.0
janasena party,ABN,15234.387640449439,10846884.0,498,334325.0,10269.0
janasena party,Sakshi,33748.23976608187,11541898.0,189,103437.0,26756.0
janasena party,TV5,28532.981641468683,26421541.0,590,301474.0,28084.0
janasena party,TV9,15352.203319502074,11099643.0,410,164336.0,15696.0
jr ntr,ABN,11659.895833333334,2798375.0,147,161560.0,2142.0
jr ntr,Sakshi,59334.896373056996,11451635.0,86,213991.0,16603.0
jr ntr,TV5,47838.33928571428,18752629.0,199,584971.0,10976.0
jr ntr,TV9,32815.64102564102,10238480.0,115,90313.0,4612.0
nara lokesh,ABN,15220.765472312703,9345550.0,331,1021496.0,5786.0
nara lokesh,Sakshi,45637.39812889813,43903177.0,473,1314793.0,78116.0
nara lokesh,TV5,20962.02258064516,32491135.0,625,2510712.0,32931.0
nara lokesh,TV9,28547.629441624365,11247766.0,241,193431.0,6859.0
panchayat elections,ABN,8081.208695652174,929339.0,102,26896.0,903.0
panchayat elections,Sakshi,22762.370056497177,8057879.0,68,122058.0,5605.0
panchayat elections,TV5,10085.953488372093,1301088.0,89,31158.0,1832.0
panchayat elections,TV9,8562.915584415585,1318689.0,98,30483.0,1062.0
pawan kalyan,ABN,18680.21046892039,17129753.0,602,1265779.0,16321.0
pawan kalyan,Sakshi,41701.74502579219,56589268.0,648,2388773.0,130450.0
pawan kalyan,TV5,38633.31994261119,53854848.0,689,4179902.0,63821.0
pawan kalyan,TV9,33966.6078782453,37940701.0,587,942028.0,38497.0
polavaram,ABN,9830.384439359268,8591756.0,624,315553.0,7767.0
polavaram,Sakshi,28673.081566068515,17576599.0,236,259059.0,29860.0
polavaram,TV5,15365.058551617874,19943846.0,834,351699.0,23937.0
polavaram,TV9,13253.675872093023,18237058.0,883,284710.0,19459.0
