ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,high court,alliance,visakha
eN5yvsEzslU,2022-08-26,-0.9916644096374512,4250.0,TV5,102.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2NiDqHOvHa0,2022-08-26,-0.9897243976593018,29473.0,TV5,265.0,51.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
jIqMGSjXMhk,2022-08-26,-0.996815860271454,51466.0,TV5,555.0,42.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWHixM0EqKg,2022-09-08,-0.9867781400680542,2529.0,TV5,370.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ztEcczxDtUQ,2022-09-08,-0.9318764209747314,6306.0,TV5,290.0,18.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GgFFI1XrwcM,2022-09-12,0.9980351328849792,6719.0,TV5,537.0,13.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZqAEjhT0HQ,2022-09-13,-0.99936705827713,1016.0,TV5,345.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
_KIYH2SxsbA,2022-09-15,-0.9993560910224916,88061.0,Sakshi,262.0,107.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
7OSKAqhceUw,2022-09-21,-0.9977549910545348,51991.0,TV5,310.0,89.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
lfPMdWOl6mI,2022-09-21,0.9960676431655884,54457.0,TV5,435.0,65.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3FIj6dqMK0,2022-09-25,0.9974297881126404,2875.0,TV5,385.0,10.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5xtsa8Dxl7k,2022-10-01,-0.999107539653778,2972.0,TV5,165.0,4.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q3hpoRw7HnM,2022-10-04,0.9924193024635316,112916.0,Sakshi,410.0,51.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_UYi2OjJ72U,2022-10-07,-0.9974633455276488,1134.0,TV5,485.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fhyt-ftnR8M,2022-10-10,0.9925280809402466,794.0,TV5,258.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QEpSzXO-M-U,2022-10-10,-0.99573814868927,1758.0,Sakshi,334.0,20.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
z5Mmckqmx2I,2022-10-10,-0.9955239295959472,11257.0,TV5,455.0,30.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bHzIvW_cKlg,2022-10-10,-0.9993703961372375,1959.0,TV5,228.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
iWAJlIkvmGc,2022-10-11,0.9970120191574096,14641.0,TV5,300.0,18.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1
ZeacLQORINs,2022-10-18,0.998345136642456,11532.0,Sakshi,475.0,56.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-sPIlVRNC_A,2022-10-21,0.7839420437812805,17665.0,ABN,314.0,11.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T8rrdUc04JY,2022-10-22,-0.9977988600730896,71008.0,Sakshi,223.0,105.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
q5uyan76i08,2022-10-23,-0.9968670010566713,839.0,TV5,387.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xR9OWuI88-U,2022-10-24,0.9987738728523254,122334.0,Sakshi,433.0,600.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
A8cnu1151e8,2022-10-26,-0.984268307685852,2188.0,ABN,512.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8fEFD0Z5_jU,2022-10-27,0.930295467376709,8776.0,ABN,265.0,9.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
vkilCJLKO8c,2022-10-27,-0.9969958066940308,368.0,ABN,147.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oVv73hdAdQY,2022-10-27,-0.997249186038971,2373.0,TV5,371.0,5.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ruLx3qIXJ1k,2022-10-28,-0.997811496257782,2519.0,TV5,280.0,8.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sNpw0_CFv30,2022-10-31,-0.9993305206298828,2149.0,TV5,221.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hY_sfHo8Yo4,2022-10-31,0.9869351387023926,561.0,TV5,295.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-nHHmpPlL4M,2022-11-02,-0.9988872408866882,2471.0,TV5,235.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
m7A3lEJr214,2022-11-05,-0.9979585409164428,1736.0,TV5,205.0,8.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0
AdmKmGG1Pjg,2022-11-06,0.991815984249115,991.0,TV5,295.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZR9W0pUfJ00,2022-11-07,-0.9977082014083862,3366.0,TV5,251.0,5.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
vLGZAVj-WM0,2022-11-11,-0.9952074885368348,4489.0,TV5,271.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8sbQT493pho,2022-11-12,-0.9993578791618348,2245.0,TV5,265.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
ZVT2WCqFf_0,2022-11-12,0.934495449066162,4120.0,TV5,570.0,8.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DpG307zq_Sk,2022-11-12,0.9986780285835266,5608.0,Sakshi,533.0,10.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
SFh3aw4G3AI,2022-11-12,-0.997740626335144,5046.0,Sakshi,483.0,18.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
YePDp8oBOb4,2022-11-14,0.995898425579071,10056.0,TV5,520.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r08YikSmqls,2022-11-16,-0.99845290184021,82580.0,TV5,340.0,449.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5YTZ4FFMYs,2022-11-16,0.997026026248932,86298.0,TV5,420.0,241.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jKby2D0hAn0,2022-11-16,0.9986177682876588,575.0,ABN,133.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yBHLE6kjV-U,2022-11-19,0.987716019153595,1888.0,TV9,590.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SeVPQ_nT3QI,2022-11-20,-0.6383127570152283,1587.0,ABN,281.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4G0mlbh-9Po,2022-11-21,0.9969936609268188,875.0,ABN,305.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
xGNJlDR0dzA,2022-11-21,-0.909629225730896,6813.0,ABN,450.0,87.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tiJMDRcl-nE,2022-11-22,-0.9992703795433044,640.0,ABN,370.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
p2WgCg28Zvk,2022-11-23,-0.9984000325202942,1556.0,ABN,225.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xgL_kD3er94,2022-11-23,-0.9979065656661988,3398.0,TV5,305.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
W1xkatggs8s,2022-11-26,-0.9981542229652404,2489.0,ABN,390.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WL0ttToO_VE,2022-11-26,0.9769495129585266,14543.0,ABN,375.0,54.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OpbY6QujVjo,2022-11-29,-0.9909605383872986,14143.0,ABN,195.0,5.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWhWjTW-QkI,2022-11-29,-0.9990293979644777,11756.0,TV5,295.0,29.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
teVmuPBKk0c,2022-11-29,-0.9974154233932496,2200.0,ABN,155.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lgh9epHBPpg,2022-11-29,-0.9735903143882751,1574.0,ABN,425.0,4.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UZXJfZMfFSY,2022-11-30,-0.997870683670044,2283.0,TV5,68.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
t9--O6nbzt4,2022-12-01,0.9962021708488464,636.0,ABN,215.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eh3JlaEUMt4,2022-12-02,0.9981982111930848,226.0,TV5,262.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
