ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
qv4fYZl9sQE,2023-02-03,0.993010938167572,2877.0,TV9,241.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
8HjKH5fbXW0,2023-02-03,0.9862931966781616,2320.0,TV9,220.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
qY4X7EbZlOE,2023-02-07,0.9959657192230223,231385.0,TV5,510.0,433.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
mauP6OB0byo,2023-02-08,0.8701013326644897,4275.0,ABN,149.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,0,0,0,0,0,0,0
Py0lnCI7Zeg,2023-02-09,0.9946473240852356,9999.0,TV5,430.0,20.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,1,0,1,0,0,0,0
lkEtoYZDdsU,2023-02-09,-0.9991483688354492,43934.0,ABN,384.0,48.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
Oilrj3sY8Uc,2023-02-09,-0.9975528120994568,7121.0,Sakshi,146.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,1,0,0,0,0,0,0
E61L0uPHJH8,2023-02-11,-0.998314619064331,47834.0,ABN,365.0,69.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,1,0,0,0,0
AelFo-kCx3s,2023-02-12,-0.9984031319618224,49076.0,ABN,318.0,35.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,1,0,0,0,0,0,0
FBgVZAL66Vg,2023-02-12,-0.995563507080078,8524.0,ABN,493.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
AlRoVWIY3IE,2023-02-14,0.9970905780792236,9359.0,ABN,345.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
3m7Nrypw5P0,2023-02-14,-0.9935908317565918,4697.0,ABN,235.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,1,0,0,0,1,0,0,1,0,0,0
ueHK-SpeiVA,2023-02-15,-0.8760817646980286,10369.0,ABN,248.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,0,0,0,1,1,0,1,0,0,0
hzc4ZrFOaK0,2023-02-19,0.9940833449363708,1228.0,TV9,288.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,0,0,0,0,0,0,0,0
LGGoguGlx3g,2023-02-19,-0.9983487129211426,6960.0,Sakshi,153.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,1,0,0,0,0,0,0,0,0
NzC8IR1ja6c,2023-03-01,0.997107207775116,1415.0,TV5,318.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
GEKDFeG1BMc,2023-03-02,-0.9934532642364502,1464.0,Sakshi,292.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,0,0,0,0,0,0,0
o3J4meVjBo4,2023-03-02,0.9979950189590454,1196.0,TV9,282.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,1,1,0,0,0
uSEXZ99LoLw,2023-03-02,-0.9934478402137756,3847.0,TV9,286.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
Vyd-0Tiu0i8,2023-03-07,0.9917539358139038,1693.0,TV9,68.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
tGpZP5iLE4c,2023-03-08,-0.9979047775268556,365.0,TV9,109.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,0,1,0,0,0,1,0
DG66pA_xSJU,2023-03-08,-0.9936671853065492,724.0,TV9,164.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
kLzK-EeaRjM,2023-03-10,0.9976097345352172,1685.0,Sakshi,206.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,1,0,0,0,0,0,0,0
GvIIC363C6Q,2023-03-20,-0.9981836676597596,17980.0,TV5,195.0,10.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,1,1,1,0,0,1,1,0,0
Ecw_ZVs7Z4o,2023-03-22,0.9986005425453186,934.0,TV9,323.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
ScbjBReBU4Q,2023-03-23,0.99628084897995,743.0,TV9,301.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
G0I3ttP8OLs,2023-03-24,-0.9976244568824768,15168.0,ABN,223.0,11.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
A_EhTBAhaDE,2023-03-25,0.9980722665786744,1201.0,TV9,335.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
nH-wqTXFFSo,2023-03-27,0.9956762194633484,1228.0,TV9,287.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,1,0,0
RaVwSBrijBM,2023-04-11,0.9978514909744264,55130.0,Sakshi,212.0,51.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,1,1,0,0,0,0,0,0,0,0
ANXtFm_MqiI,2023-04-15,-0.9981145858764648,839.0,Sakshi,293.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,1,0,0,0,0,0,0,0,0
oXi_pQvv7Kk,2023-04-18,-0.9945801496505736,1254.0,TV9,211.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,0,1,0,0,1,0,0,0
xFNOLWHxnCA,2023-04-18,0.9964669942855836,46924.0,TV5,355.0,85.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
