ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,Kuppam,janasena party,ap employees,ap assembly session today,alliance,ambati rambabu ,polavaram,visakha,roja,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,varahi ,nandigama
9GUvanDijss,2021-12-22,-0.9978804588317872,5842.0,Sakshi,185.0,15.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1c23AzCll6c,2021-12-22,0.9938995838165284,4783.0,Sakshi,330.0,33.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tdyvUv37YUQ,2022-01-06,-0.9975526928901672,62697.0,Sakshi,323.0,226.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbk6hXnpe5E,2022-01-14,0.9969184398651124,4960.0,Sakshi,312.0,17.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FN19tPaSgng,2022-01-14,0.9984614849090576,310366.0,Sakshi,111.0,298.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sJ_PcXJPTMM,2022-01-14,0.9983591437339784,9262.0,Sakshi,232.0,28.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-FMpXUqu8,2022-01-22,-0.9897107481956482,31662.0,Sakshi,591.0,102.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cTTh1bDzCic,2022-01-22,-0.9893394112586976,3054.0,Sakshi,132.0,16.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CVAvfHunTgU,2022-01-23,-0.9861772656440736,6988.0,Sakshi,400.0,6.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV8AxE5URvA,2022-02-04,-0.9984949827194214,5540.0,Sakshi,282.0,116.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VbOXvJAyZOI,2022-02-24,-0.9775960445404052,2800.0,Sakshi,179.0,12.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
VRoNW7O9QL0,2022-03-03,0.9978806972503662,5583.0,Sakshi,320.0,90.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
alj4WCg99yo,2022-03-04,-0.6037957668304443,17257.0,Sakshi,114.0,54.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PNTE42xQpvk,2022-03-10,-0.988101363182068,5910.0,Sakshi,177.0,4.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0
MhNoh8L8Z_w,2022-03-14,0.9962424039840698,17890.0,Sakshi,68.0,254.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1T3PHFIUyI,2022-03-14,0.9951307773590088,61548.0,Sakshi,223.0,520.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
wlyiiXbDztc,2022-03-14,-0.9855247139930724,23823.0,Sakshi,291.0,47.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GRNdQc1DUGI,2022-03-15,-0.9985888600349426,290494.0,Sakshi,311.0,0.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
GCWvFZGCjcM,2022-03-17,-0.9949559569358826,12269.0,Sakshi,495.0,15.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yv78GyopTu8,2022-03-17,-0.9986157417297364,5650.0,Sakshi,65.0,38.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
yZDLeW7yhC8,2022-03-21,0.9934142827987672,13427.0,Sakshi,64.0,27.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
r4NsHue8OXU,2022-03-21,-0.9982239603996276,4882.0,Sakshi,87.0,9.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6i6jR6tbLpY,2022-03-21,0.9960595369338988,9393.0,Sakshi,207.0,53.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
AKRiThJ5U7w,2022-03-24,-0.997706174850464,2262.0,Sakshi,113.0,2.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
ajmV5YN4W8Q,2022-04-01,-0.9993139505386353,45871.0,Sakshi,463.0,31.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mNLk4t1Ctp8,2022-04-02,-0.996659517288208,47778.0,Sakshi,203.0,139.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
bSEhCFJQaHs,2022-04-06,-0.9976909160614014,16500.0,Sakshi,328.0,103.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_dSiMJ_73I,2022-04-06,0.9882091283798218,71859.0,Sakshi,390.0,359.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FKQLJO5ODfM,2022-04-06,0.9899111390113832,21894.0,Sakshi,521.0,82.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rI5mTIaVerg,2022-04-06,0.9967681169509888,33208.0,Sakshi,79.0,39.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wt_PL8QybbE,2022-04-06,-0.9931471943855286,57089.0,Sakshi,141.0,310.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YXhg6EWZLEs,2022-04-11,0.9975542426109314,11280.0,Sakshi,281.0,9.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1
IvE9g9qGld8,2022-04-18,0.9985547661781312,9165.0,Sakshi,215.0,8.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnvTA5tRw4o,2022-04-22,0.995287299156189,131189.0,Sakshi,262.0,100.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1LSo_CRpaI,2022-05-16,-0.9962932467460632,11729.0,Sakshi,356.0,46.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9PP5-R9nspA,2022-05-17,0.9920907020568848,23792.0,Sakshi,136.0,190.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0
