ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,AP ,ap employees,alliance
kALS_18B5_Y,2022-12-24,-0.9981914162635804,8221.0,TV9,188.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
fzx1HAoiED4,2022-12-30,0.9956010580062866,3178.0,TV9,232.0,17.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,1,1,0,0,0
QOs1fhIk7Ss,2023-01-02,-0.981782615184784,57147.0,ABN,149.0,449.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,1
evx7_Hn_4xk,2023-01-06,-0.9981948733329772,2642.0,TV9,144.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
234i9ydcT0g,2023-01-07,-0.998171329498291,569.0,TV9,295.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
HDx-p6HGTJ8,2023-01-12,-0.9515554904937744,2091.0,ABN,209.0,4.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,0,1,1,1,1
FFj_mmB-iWY,2023-01-12,0.9892796874046326,8537.0,Sakshi,212.0,12.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,1,1,0,0,1
IJwSvon-rOk,2023-01-12,-0.9966033697128296,1627.0,TV5,411.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,1,1,0
PNv75QGUJ7k,2023-01-18,0.9982602000236512,842.0,TV9,114.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
deUaKSqKx34,2023-01-18,-0.997672975063324,1028.0,TV9,296.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,1,1,0,1,1
9aGSXvtRYvk,2023-01-18,0.9980714917182922,4788.0,TV9,298.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
53atNkuVhNo,2023-01-18,0.9981722831726074,2689.0,ABN,350.0,4.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
EOVDNaRGRbM,2023-01-20,0.9944292306900024,14157.0,Sakshi,370.0,68.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,1,1,0
_9jqr-3XfK8,2023-01-26,0.9987432360649108,769.0,ABN,209.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
LoDsV5xG5FY,2023-02-17,0.9974251985549928,993.0,TV9,74.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,0,0,0,1,1
M49FajsRYkc,2023-02-17,0.9943669438362122,916.0,TV9,137.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
1ZIH0pEfL9k,2023-02-17,0.988368570804596,3424.0,TV9,209.0,8.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
u2k7QUzH6hA,2023-02-17,0.9917407035827636,14600.0,TV9,216.0,14.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,0,0,0,0,1
EZ0zk0rz8sQ,2023-02-22,0.9933607578277588,2435.0,TV9,121.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,1
2kx9GWt1xIc,2023-03-13,-0.9993813037872314,602.0,TV5,327.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,0,0,1,0,0
srettND5iG0,2023-03-17,0.9982876181602478,331.0,TV9,227.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,1
R7bJHabVKdY,2023-03-28,-0.9976693987846376,2610.0,TV5,161.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,1,1,1,1,0,0
VAy8NcZvv0A,2023-04-04,0.998178482055664,906.0,TV9,132.0,3.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,1,0,0,1
L-RtyoPilwU,2023-04-04,0.994198441505432,881.0,TV9,246.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,0,0,0,0
65jYnYGhT4s,2023-04-06,-0.9994667172431946,868.0,TV9,177.0,3.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,0,1,0,0,0
2bYibqOy9hk,2023-04-16,0.9836390018463136,4503.0,ABN,202.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc,0,1,0,0,0,0
