ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, vidadala ,Kakani,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,perni nani ,ap development,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
CNFjy40-dlw,2020-03-12,0.998685657978058,2643.0,Sakshi,490.0,1.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6TPYeXmMQQ,2020-03-14,-0.9940349459648132,2602.0,Sakshi,239.0,4.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2U7XfBG4kQc,2020-03-16,-0.999486207962036,2622.0,Sakshi,132.0,9.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4i2iPsXDrLc,2020-03-16,-0.9994370341300964,1755.0,Sakshi,287.0,8.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
wda42vu7p9E,2020-03-16,-0.9994864463806152,2711.0,Sakshi,287.0,8.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
eczGHCB0l7o,2021-02-13,0.9840806126594543,80629.0,Sakshi,289.0,98.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oEKk0MNd5hM,2021-02-15,0.9976578950881958,2900.0,Sakshi,200.0,5.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NkpMa8AXwnU,2021-02-15,0.9978110194206238,3331.0,Sakshi,487.0,7.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myxLlJ8vRW0,2021-02-16,0.9917044639587402,1474.0,Sakshi,200.0,0.0,repalle.png,Anagani Satya Prasad,TDP,Repalle,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0
