ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
te-0nO0JHJg,2022-10-14,-0.992493212223053,1909.0,Sakshi,491.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cQ71LBPAswc,2022-10-19,-0.999419927597046,33853.0,Sakshi,134.0,427.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc50BzIwj7M,2022-10-19,-0.9968966245651244,10108.0,Sakshi,491.0,64.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qg72IuKHYHE,2022-11-14,-0.9787624478340148,2552.0,Sakshi,218.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ELjFK7Eh_oU,2022-11-14,0.9964519739151,20424.0,Sakshi,403.0,138.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7HgzfDFjak,2022-11-14,-0.9971784353256226,9962.0,Sakshi,274.0,21.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ymVQVmCV-Bs,2022-11-14,-0.986742377281189,1069.0,Sakshi,126.0,1.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f_6WBl2hRK4,2022-11-21,-0.994090497493744,1684.0,TV9,182.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MMQdEiRLSHg,2022-11-21,-0.9992157220840454,25196.0,TV9,271.0,135.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
i69kDiKO5ME,2022-11-21,0.9936004877090454,87148.0,TV9,227.0,176.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
YSW_b6bwdws,2022-11-21,-0.9991917014122008,7364.0,TV9,234.0,17.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SKKLyyGSuT4,2022-11-21,-0.9917280673980712,37088.0,TV9,300.0,82.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
yyVMwL63E4A,2022-11-26,0.9985509514808656,1321.0,TV9,199.0,0.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
c-YEuroWnTQ,2022-11-30,0.998764157295227,8842.0,Sakshi,481.0,15.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nyn6xATEw94,2022-12-02,0.9917667508125304,1177.0,Sakshi,563.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
X2eynge5Zq4,2022-12-02,-0.9972671270370485,2291.0,TV9,254.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A3nPe0KGo_E,2022-12-02,-0.9975960850715636,11593.0,TV9,367.0,21.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Uy3BP24VXMI,2022-12-05,-0.9974551796913148,4280.0,Sakshi,155.0,26.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
lZzGADqNozI,2022-12-06,0.9960172772407532,1787.0,Sakshi,333.0,7.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECLmnkU8LDs,2022-12-07,-0.971904158592224,6175.0,Sakshi,386.0,11.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
1WgTyygpIwA,2022-12-07,-0.9972752928733826,5113.0,TV9,492.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DuukUtzuI_A,2022-12-14,0.9984619617462158,46521.0,TV9,330.0,143.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
erxEbtX5z6o,2022-12-21,0.9986605644226074,2377.0,TV9,262.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
79Acjc2OVRA,2022-12-24,0.9904201626777648,7326.0,TV9,201.0,9.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ayYplF_OHWw,2022-12-24,0.9978531002998352,36511.0,TV9,374.0,68.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XVrDcTnhlGE,2022-12-24,0.9977815747261048,21817.0,TV9,511.0,47.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HE3pyreCYP8,2022-12-29,-0.9983402490615844,2794.0,TV9,188.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waoFraT_0po,2022-12-31,0.9988299012184144,1842.0,Sakshi,335.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
X05_vOZBkcg,2022-12-31,-0.99827241897583,48225.0,Sakshi,220.0,207.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
k3waurOvHDE,2023-01-03,-0.9994533658027648,1129.0,TV9,284.0,16.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ghNlNIVIiLI,2023-01-04,-0.9904656410217284,1835.0,Sakshi,180.0,13.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
