ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
FALkf6hyCqI,2023-03-19,0.9984806180000304,10599.0,TV9,271.0,26.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S1WaJodUYz0,2023-03-23,-0.998760223388672,3838.0,TV9,187.0,8.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
3aE-wwlTEQs,2023-03-23,0.9987298846244812,3669.0,Sakshi,322.0,15.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
hkPqy5pcct0,2023-03-23,-0.9927998781204224,9599.0,TV9,301.0,24.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
pP4FY7KGvWg,2023-03-23,-0.999380588531494,8735.0,TV9,226.0,19.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4OKMd8Hc9JM,2023-04-06,-0.9983900785446168,1616.0,TV9,206.0,7.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6zKX3qw61WM,2023-04-06,0.9898367524147034,840.0,TV9,177.0,2.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1k5yOMrL5PA,2023-04-06,-0.9994854927062988,1015.0,TV9,191.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nKbrZk18vS0,2023-04-06,-0.9879956841468812,566.0,TV9,232.0,3.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IBM2gVQ-ohY,2023-04-09,-0.9989270567893982,3657.0,TV9,203.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
lqPUcHdowlY,2023-04-09,-0.9967601895332336,2937.0,TV9,230.0,17.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2_Et4bS5fs8,2023-04-11,0.996404767036438,1146.0,TV9,191.0,2.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
