ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,yuvashakti,tadepalli,ap development,tadipatri
WWvqIrGztyY,2022-10-30,0.9651053547859192,9329.0,Sakshi,232.0,26.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,0,0,0,0,1,1,1,0,1
ZuErDF3qlxs,2022-11-04,0.9949251413345336,10003.0,TV5,559.0,19.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,1,1,0,0,0,0,0,0,0,0,0
s-i4QbJ7DA8,2022-11-19,-0.9981573224067688,4582.0,TV9,249.0,12.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,1,1,0,0,1,0,0,0,0,0,0
_Rdbr09yxAM,2022-11-19,-0.9957401752471924,1231.0,TV9,250.0,6.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,0,0,1,0,0,1,1,0,1
N1Tk0r6thoE,2022-11-19,0.9985315799713136,1704.0,Sakshi,280.0,1.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,0,0,1,0,1,0,0,1,0
2Ey6_Ayuu-c,2023-01-08,-0.9825655221939088,6687.0,Sakshi,67.0,60.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,1,0,0,1,0,0,1,1,0,1
cDnucORJqxY,2023-01-31,0.993547260761261,38374.0,Sakshi,501.0,61.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,0,0,0,0,0,0,0,0,0
Z4UL5u-9Jvo,2023-03-15,-0.9989998936653136,3237.0,ABN,271.0,5.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,0,0,1,1,0,1,0,1
Aj87qi63Ybk,2023-03-15,-0.9985333681106568,2746.0,ABN,266.0,7.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,1,1,0,0,0,0,1,0,0,0,0
cXlIQVmVvIg,2023-03-15,-0.9987980127334596,9827.0,TV9,321.0,3.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,0,0,1,1,0,0,0,0
dFXk_McBC3A,2023-03-16,-0.9993789196014404,2192.0,TV9,74.0,0.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,1,0,0,1,0,0,0,1,0
ASHkJY6vJ6c,2023-03-16,-0.9973452687263488,1936.0,TV5,305.0,12.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,1,0,0,1,1,0,1,1,1
GlsnMjfVXTY,2023-03-17,-0.9994508624076844,1812.0,TV9,151.0,1.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,0,0,1,0,0,0,0,0
IOP-fqRCoFE,2023-03-17,-0.999398946762085,3731.0,Sakshi,195.0,6.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,1,0,1,1,0,1,0,1
79SqPB2fsR4,2023-03-18,-0.9987938404083252,3836.0,Sakshi,121.0,13.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,1,0,1,1,0,1,0,1
9hApiDe7AM8,2023-03-18,0.9983256459236144,627.0,Sakshi,306.0,4.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,1,1,1,1,0,1,1,1,0,1,0
eLBpn4otkUg,2023-03-20,-0.9994575381278992,5563.0,TV9,276.0,4.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,0,0,0,1,1,0,0,1,0
kyN_aoN6H-o,2023-03-20,-0.9976876974105836,87207.0,Sakshi,286.0,101.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,0,1,1,0,1,0,0,0,0
CLwgqH4YXp4,2023-03-24,-0.998903512954712,11443.0,ABN,119.0,16.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,0,0,1,0,0,1,0,1
1rhYXVu7Y_I,2023-03-24,0.9955483675003052,571.0,TV9,263.0,0.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,1,0,0,0,1,1,1,1,0,1
pNaF44SPIYY,2023-03-24,-0.999334990978241,13639.0,TV5,138.0,59.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,1,1,0,0,0,0,1,0,0,0,0
O1Gtz0FNJV8,2023-03-27,0.9969026446342468,855.0,Sakshi,227.0,2.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,0,0,1,1,1,0,1,0
VdCXXfawmuo,2023-03-27,0.9982141256332396,1419.0,Sakshi,301.0,4.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,1,0,0,0,1,1,0,1,0,0,1,0
cC01bFtxvTY,2023-03-27,-0.9985948204994202,3371.0,Sakshi,135.0,6.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,1,1,1,0,0,0,0,0,0
rWHZFIHXWQM,2023-03-27,0.9954065084457396,2286.0,Sakshi,135.0,7.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,0,1,1,0,0,1,0,1,0
K_cDAw1Cyqc,2023-03-27,-0.9988633394241332,1004.0,Sakshi,181.0,4.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,1,0,1,1,0,0,1,1,1,0
bj0QFY148_k,2023-03-27,-0.9951371550559998,1454.0,Sakshi,310.0,7.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,0,1,1,0,0,0,0,0,0
TsDKgGyGV3k,2023-04-15,0.9976857900619508,684.0,Sakshi,157.0,0.0,Amadalavasa.png,Thammineni Seetharam,YSRCP,Amadalavasa,0,0,0,0,1,0,0,0,0,0,1,0
