ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
cAd5qVDssi8,2022-04-14,0.9978256821632384,68346.0,Sakshi,238.0,157.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0
yvG2QS-vNso,2022-04-14,0.9980097413063048,49487.0,Sakshi,150.0,23.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cVAg9ATncNk,2022-04-17,-0.993886649608612,38571.0,Sakshi,368.0,145.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
x1aF5gYQn18,2022-04-21,0.9987234473228456,13455.0,Sakshi,242.0,7.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
qb_RyvZj1wc,2022-04-21,0.9977325201034546,3447.0,Sakshi,448.0,2.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
TyfXsDNu9Pg,2022-05-09,0.9972994923591614,17036.0,Sakshi,276.0,60.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0
7k4Kpwe2FAs,2022-05-09,-0.9988425374031068,15915.0,Sakshi,188.0,50.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ZP3axHksPeo,2022-05-23,0.9915257096290588,2207.0,Sakshi,471.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JE4gtsCLy3Y,2022-05-28,-0.9925056099891664,549554.0,Sakshi,324.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ML1SdsoJroA,2022-05-30,0.9982630610466005,20329.0,Sakshi,387.0,42.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qdxkuReIHI,2022-06-09,0.9910715222358704,54541.0,Sakshi,418.0,57.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g0TxFDTDISs,2022-06-18,-0.9897801876068116,11886.0,Sakshi,234.0,39.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
n-v9Xvb-yLM,2022-06-19,-0.9972654581069946,3211.0,Sakshi,205.0,15.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
GNla5c9u4Ro,2022-06-19,-0.988398015499115,2280.0,Sakshi,196.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
BMLfvsA-mc4,2022-06-26,0.9923225045204164,13203.0,Sakshi,282.0,25.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sCKrsSnjNpo,2022-06-26,0.9908562898635864,12467.0,Sakshi,246.0,7.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C-r5dLTCdk,2022-06-29,-0.9934072494506836,1186.0,Sakshi,479.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PUUOTchSzTg,2022-06-30,0.9935160875320436,2459.0,Sakshi,253.0,2.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6C1bXimnXHI,2022-07-01,0.9987803101539612,55803.0,Sakshi,150.0,78.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
HFnp3Ck52gY,2022-07-09,0.997820258140564,1527.0,Sakshi,387.0,3.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5V3iWoLvHZE,2022-07-15,-0.991748571395874,219958.0,Sakshi,251.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zq1UzPK4dZI,2022-07-27,0.99600487947464,10450.0,Sakshi,184.0,15.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
02Xeb5x4WHs,2022-08-10,-0.9885923862457277,5702.0,Sakshi,317.0,60.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
j-3YzfvpmZU,2022-08-18,0.9969663023948668,22282.0,Sakshi,180.0,101.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
uS_oS9h_tAI,2022-08-19,-0.9988940358161926,5522.0,Sakshi,360.0,25.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
