ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,alliance,visakha,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
sujRAEOK3y8,2022-10-13,-0.9987416863441468,3265.0,ABN,122.0,10.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5Dx23K7o88,2022-10-14,-0.9987342953681946,2001.0,TV5,225.0,10.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
T_6aM5HDPHI,2022-10-14,-0.9974851608276368,2291.0,TV5,275.0,5.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
vbnTtEDvUCk,2022-10-14,-0.9897369742393494,2234.0,TV5,230.0,13.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aF5ccI46WXo,2022-10-14,-0.9912505149841307,4292.0,TV5,190.0,11.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
tS1uBSRkfJw,2022-10-14,-0.991578221321106,4206.0,TV5,135.0,21.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
a_GPIL0JifQ,2022-10-14,-0.9959787130355836,2635.0,TV5,135.0,8.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
cqoArQsN9qk,2022-10-14,-0.9872403740882874,6969.0,TV5,185.0,16.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1
ugKDn-WcTgQ,2022-10-14,-0.9923743605613708,678.0,TV5,220.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Pvk5sjIyRSc,2022-10-14,-0.9910914301872252,4116.0,ABN,291.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ak2k3c38vKo,2022-10-14,-0.9987163543701172,2438.0,TV5,210.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
KSIUsJOgMPA,2022-10-18,-0.998009979724884,24693.0,TV5,491.0,38.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8lDaHBkcpFg,2022-10-22,0.9981129169464112,35383.0,TV5,213.0,72.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1
VJ8y0M6FSfQ,2022-11-03,-0.9982969164848328,1087.0,ABN,215.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_VTu6XQUZV0,2022-11-03,-0.99928879737854,2950.0,TV5,175.0,9.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
syr3rfvfUMs,2022-11-08,0.9926475286483764,25121.0,TV5,529.0,35.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UmQrvR69Br4,2022-11-08,0.9975268244743348,2101.0,Sakshi,237.0,7.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
_SsDZh4r_1g,2022-11-10,-0.9916331768035888,7301.0,TV5,195.0,11.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MrDXKhIuQ3E,2022-11-10,0.998241662979126,2898.0,TV5,110.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-VI1WjVxYnA,2022-11-10,0.997423768043518,5795.0,TV5,145.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bWZbxW7X7Ns,2022-11-10,0.9980812072753906,899544.0,TV5,595.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9h1NMI5UTLQ,2022-11-12,0.9969881176948548,585156.0,TV5,254.0,617.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
AL1vn55rayY,2022-11-13,-0.98834627866745,119096.0,TV5,260.0,144.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
i4KNuI0OhN4,2022-11-14,-0.9978370070457458,1342.0,Sakshi,360.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
PF4WT1arUSo,2022-11-19,0.9938262104988098,2215.0,TV9,105.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pLmXOXGh6TM,2022-11-20,-0.9975211024284364,3804.0,TV9,400.0,8.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_ogMls0NO0M,2022-11-23,0.9928883910179138,146891.0,TV5,506.0,188.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
q94RlNdzJHw,2022-11-24,-0.9980886578559875,3876.0,TV9,241.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PHypcWlSDnI,2022-11-25,-0.9982476234436036,326364.0,ABN,302.0,94.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1oMHMqm4TO8,2022-11-28,-0.9986870884895324,2758.0,TV9,207.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ISQumopvp3I,2022-11-29,0.9499355554580688,15482.0,TV9,162.0,33.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ExgOdF6D_DA,2022-11-30,0.9963871240615844,14247.0,TV5,579.0,62.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
705qTtVqevA,2022-12-02,-0.9950626492500304,2844.0,TV9,179.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5ivO5GxHwkk,2022-12-02,-0.9937606453895568,987.0,TV9,230.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
