ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
1oMHMqm4TO8,2022-11-28,-0.9986870884895324,2758.0,TV9,207.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oopCMcXBXrs,2022-11-28,-0.998496413230896,30882.0,TV9,236.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Of8RxCS7RSQ,2022-11-30,0.9812350869178772,867.0,TV9,146.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tYkIv4Xllzo,2022-12-07,-0.998164713382721,1746.0,TV9,303.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ZIGzysOFeE,2022-12-07,0.9978281855583192,2597.0,TV9,273.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1
UPycpN825aQ,2022-12-09,-0.9993391633033752,1095.0,TV9,276.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tiA6ukcl3fc,2022-12-09,-0.9945460557937622,2256.0,TV9,151.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS9qwlyPnYM,2022-12-13,-0.9950127005577089,3060.0,Sakshi,324.0,46.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1
3C9e-OhNsrg,2022-12-14,0.9893564581871032,2529.0,TV9,183.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dsiXBsGjswE,2022-12-15,-0.9968256950378418,12029.0,Sakshi,540.0,30.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pK2k-xrqOLE,2022-12-25,-0.9891825318336488,1925.0,TV9,102.0,11.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-StBEQaT0Q,2023-01-07,-0.9903556108474731,29650.0,TV9,337.0,84.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
z7ZQ1PIymFQ,2023-01-07,0.9979389309883118,3931.0,TV9,385.0,8.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
PQLd-8Xd9BM,2023-01-07,-0.9983383417129515,3554.0,TV9,382.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SfxympeuhNA,2023-01-07,0.9934592247009276,1500.0,TV9,538.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kIpGX2UP_AI,2023-01-09,0.9880753755569458,2621.0,Sakshi,369.0,10.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
329UNCP5p04,2023-01-13,0.9985650181770324,8973.0,TV9,206.0,17.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
ttPOtY45R_c,2023-01-13,-0.9974282383918762,1172.0,TV9,293.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Do7sSfXj7mM,2023-01-13,-0.9990583062171936,1717.0,TV9,284.0,20.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
MWl-Tpp7yV8,2023-01-13,-0.9987078905105592,2316.0,TV9,180.0,12.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
hQWjcGYJTO0,2023-01-13,-0.9994304776191713,979.0,TV9,277.0,9.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
qtp-kQe6gLg,2023-01-13,-0.9923275113105774,1608.0,TV9,315.0,15.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
drECnNxzX_A,2023-01-13,0.9981441497802734,7617.0,TV9,205.0,24.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
WbkoQRcle_A,2023-01-13,0.991140067577362,15112.0,TV9,54.0,63.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5TOvdWbudKw,2023-01-13,-0.9987221360206604,1028.0,TV9,245.0,7.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
XAnI3EKGnsk,2023-01-13,0.9866549968719482,1110.0,TV9,290.0,5.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A3KJJzEnK-w,2023-01-13,0.9983983635902404,4499.0,TV9,300.0,24.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
ruEVLBI5IvQ,2023-01-13,-0.9984291195869446,42174.0,TV9,45.0,125.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yygSk1Bb5zI,2023-01-14,-0.9862701296806335,1892.0,TV9,413.0,9.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uZD3rfixNaE,2023-01-15,-0.9924575090408324,2214.0,TV9,266.0,5.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
YZz39jJaYBU,2023-01-15,0.998894989490509,2511.0,TV9,268.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7BNoVBTDRAs,2023-01-15,-0.9977399110794068,1487.0,TV9,274.0,8.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8XA3iYZ6-2Y,2023-01-17,-0.9886534810066224,1220.0,TV5,153.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9r6sHW1AoU,2023-01-21,-0.99897301197052,1517.0,ABN,459.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibEPYNVpc7I,2023-01-23,-0.9988718628883362,635.0,ABN,112.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zk4BrsFUEgw,2023-01-28,-0.9357288479804992,7128.0,TV9,518.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
agPopO8D-eQ,2023-01-28,-0.9979131817817688,963.0,TV9,47.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
oajcN_mXelU,2023-01-28,-0.9979973435401917,1140.0,ABN,234.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49XhDaIMcnM,2023-01-28,-0.999492049217224,1106.0,TV9,107.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
zllUIdSGI78,2023-01-28,-0.996302604675293,33804.0,TV9,138.0,53.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
P62vz104Hmg,2023-01-29,0.9953712821006776,2638.0,TV9,277.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
