ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ysrcp,cm jagan,chandrababu
GcXZs34n9JQ,2022-11-18,-0.9955015778541564,5306.0,TV5,289.0,5.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,1,1,1,1
B3WkrkxHqTw,2022-11-29,-0.9976077079772948,544.0,ABN,52.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
yjDDMAhicks,2022-12-01,-0.9963819980621338,5420.0,TV9,270.0,2.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,1,0,0
gWzp6nnkJdc,2022-12-10,-0.9923171997070312,3379.0,Sakshi,303.0,3.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,1,1,0,1
ABUCGv3nCFQ,2022-12-13,0.99454665184021,16283.0,Sakshi,493.0,58.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
pqUAel5Z6AQ,2022-12-13,-0.9960893392562866,1162.0,ABN,279.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,1,0,0,0
IFypGT_ytZM,2022-12-24,-0.9974550604820251,5873.0,Sakshi,252.0,11.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,1
t5sJWKvxpEw,2023-01-06,0.9972653388977052,2037.0,Sakshi,497.0,12.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
u4GTJQ5ytJc,2023-01-11,0.9934731125831604,568.0,TV5,148.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
G5EBtJ7Pz08,2023-01-19,0.994904398918152,1432.0,Sakshi,546.0,7.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
ptBlJsoeOuo,2023-01-21,-0.9897454977035522,4509.0,Sakshi,124.0,55.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,1,0,0
QfXXe8O28fo,2023-01-28,0.9976881742477416,7066.0,TV9,498.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
YUzgCSt05Zg,2023-01-31,-0.99830162525177,9106.0,TV9,262.0,12.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
3rGMiS3eZaE,2023-02-02,0.997128427028656,15191.0,Sakshi,555.0,38.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,1,0
H9HZw9qrPk0,2023-02-11,-0.999423623085022,864.0,ABN,405.0,1.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
eFL8u9uqqG4,2023-03-05,-0.9962732791900636,50237.0,Sakshi,296.0,215.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,1,0
jQe27tnv_rA,2023-03-08,-0.8809354901313782,10465.0,Sakshi,140.0,17.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,1
jU6o3KVR5MI,2023-03-08,0.9985538125038148,5223.0,Sakshi,286.0,2.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
c3NGrgJFCpA,2023-03-17,0.9981898665428162,2829.0,Sakshi,262.0,10.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,1,1,0
Hu2smvn369k,2023-03-21,-0.996729612350464,1147.0,ABN,134.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
UHMCE1rAdJY,2023-03-27,-0.998205304145813,1958.0,TV9,304.0,0.0,komeni_srinivasrao.png,Kommineni Srinivasa Rao,MEDIA,,0,0,0,0
