ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,Ramoji Rao,ap employees,ap assembly session today,high court,alliance,Peddireddy ,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
7mEZjLQhKQc,2022-02-10,0.998143434524536,14680.0,Sakshi,358.0,13.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R7JKrwwcwao,2022-02-10,0.9791725277900696,310426.0,Sakshi,161.0,276.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MGRA5zdnzT8,2022-02-19,-0.9018036127090454,51185.0,Sakshi,445.0,132.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yEDxFtgjVdE,2022-02-19,-0.9984134435653688,26895.0,Sakshi,217.0,98.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uRxEfl-dbzY,2022-02-20,-0.996707558631897,16916.0,Sakshi,108.0,28.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1N4Gr5k46o,2022-02-20,0.9843377470970154,18592.0,Sakshi,229.0,30.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
rcsiTrg9d4g,2022-02-20,-0.9994491934776306,86783.0,Sakshi,370.0,184.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
KB0n-V_pucc,2022-02-20,-0.9985584616661072,21217.0,Sakshi,173.0,51.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nOeKWXPnOs0,2022-02-25,0.997443437576294,55022.0,Sakshi,70.0,49.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
68L3yGAQMt0,2022-03-01,0.9950504899024964,3950.0,Sakshi,210.0,14.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-n84XSSeeJY,2022-03-12,0.998387336730957,2619.0,Sakshi,195.0,3.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9KaNLRK2AYg,2022-03-12,0.9986180067062378,4463.0,Sakshi,129.0,7.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nx6uPx2_wBI,2022-03-24,-0.993051290512085,929769.0,Sakshi,493.0,753.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X0nG0akwTtA,2022-03-30,0.9983034133911132,5999.0,Sakshi,138.0,13.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hx3F9V7aUnI,2022-04-05,-0.9984498023986816,4403.0,Sakshi,177.0,2.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
aDmtGZaBHPA,2022-04-05,-0.996810495853424,36146.0,Sakshi,279.0,70.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_chbQOiZFeA,2022-04-05,-0.5227972269058228,84774.0,Sakshi,179.0,38.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
DbqrD-BdUMQ,2022-04-05,0.9902486205101012,22021.0,Sakshi,487.0,18.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bxRpvtZZlKo,2022-04-07,0.9978412389755248,18874.0,Sakshi,260.0,14.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
9ait2O7KefE,2022-04-25,0.9473604559898376,79865.0,Sakshi,298.0,178.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rcd-VZvkxW0,2022-04-25,-0.9977849721908568,138316.0,Sakshi,458.0,230.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lYahkyijyDY,2022-04-29,-0.9987391829490662,427181.0,Sakshi,203.0,0.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vWHQpqpY_B4,2022-05-07,0.9620330929756165,121057.0,Sakshi,198.0,314.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRQF7zdKhlA,2022-05-07,-0.994038224220276,6539.0,Sakshi,115.0,38.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yCEgwp8bvpM,2022-05-07,-0.999368131160736,70108.0,Sakshi,225.0,261.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LvTsZ8KgBdc,2022-05-07,0.9742631316184998,44498.0,Sakshi,118.0,150.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RLRa3ge41XQ,2022-05-13,0.9979191422462464,11651.0,Sakshi,204.0,56.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3l6f1pV6_5o,2022-05-14,0.9983406066894532,19364.0,Sakshi,313.0,15.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
n2Yynydf1H8,2022-05-17,0.9975357055664062,4011.0,Sakshi,199.0,18.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
