ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
BAPB1z6fa8k,2022-06-08,-0.994617760181427,13485.0,Sakshi,526.0,49.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
sUY3abHq5Qk,2022-06-11,-0.8947923183441162,9789.0,Sakshi,275.0,45.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
sqxp__ECAFw,2022-06-17,0.9923526644706726,26438.0,Sakshi,244.0,25.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Rh3uOPk0EEc,2022-06-29,0.9982348680496216,1657.0,Sakshi,199.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
8D5S75pWUpA,2022-07-26,0.9981127977371216,281026.0,Sakshi,521.0,418.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4su0PPSAlow,2022-08-05,0.9982831478118896,26021.0,Sakshi,337.0,79.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CxDhlMd2G8M,2022-08-12,-0.9942983984947203,14506.0,Sakshi,316.0,54.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
wSGB_3u8zW0,2022-08-16,0.976028859615326,9452.0,Sakshi,370.0,5.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0
uNtNIKIkhug,2022-08-18,0.9932439923286438,46669.0,Sakshi,537.0,137.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ldY102yVBSg,2022-08-22,-0.9980416297912598,2322.0,TV5,295.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kJA1mADKvj4,2022-08-26,0.9859698414802552,1624.0,TV5,356.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fUlf_E3cb14,2022-09-02,0.9964816570281982,7835.0,Sakshi,134.0,9.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3knfqvu12OE,2022-09-05,-0.9991470575332642,3432.0,TV5,241.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eid8_dBozsk,2022-09-06,-0.9979947805404664,12055.0,TV5,335.0,34.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QSobuFBjvKU,2022-09-06,-0.9993701577186584,1414.0,TV5,135.0,3.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
aqGm0OOeK6U,2022-09-06,-0.9984520673751832,902.0,TV5,309.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H0ZydUFcSk,2022-09-08,0.9985081553459167,3480.0,Sakshi,133.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cOK_BuZLdZs,2022-09-15,-0.8004226088523865,13617.0,TV5,425.0,23.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_Qr3t4fIQ0,2022-09-15,-0.9994310736656188,1713.0,TV5,222.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
t5_4LPO5zOQ,2022-09-15,-0.9984227418899536,2347.0,TV5,256.0,4.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
snorSIrrg8g,2022-09-15,-0.9849684834480286,34158.0,TV5,185.0,85.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
3qeLdKZVl9s,2022-09-15,-0.9284350872039796,2151.0,TV5,108.0,4.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
s0uQttCcQb0,2022-09-15,-0.9986203908920288,4511.0,Sakshi,156.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
mdba6OsF13k,2022-09-20,-0.985082983970642,4881.0,TV5,95.0,4.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
