ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,alliance,Peddireddy ,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
Yui4tLn_cJs,2022-12-07,-0.9906249642372132,3905.0,TV5,307.0,2.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
sQkt7wg4xic,2022-12-07,0.993371605873108,1497.0,TV9,145.0,2.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
JWaFSbxqnE8,2022-12-07,0.9988502264022828,3999.0,TV9,122.0,5.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
UJc4lV7-lDU,2022-12-07,-0.9987038373947144,2199.0,TV9,251.0,10.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4KRlLQl2sfI,2022-12-07,0.9966666102409364,6460.0,TV9,249.0,24.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L3O9OVCHRk4,2022-12-07,-0.999454915523529,1847.0,TV9,333.0,8.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lwmR7Vpi-nA,2022-12-07,0.99880850315094,185.0,TV9,266.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pKcvpdKjD6c,2022-12-07,0.9987273812294006,1719.0,TV9,255.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5VZAiRUYnSA,2022-12-07,0.9983035326004028,1925.0,TV9,225.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-TtXbH0R8T4,2022-12-08,0.9884113073349,1234.0,TV9,282.0,4.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
