ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,gorantla ,visakha
9D27AX9Dhe4,2022-10-27,0.9962678551673888,6642.0,Sakshi,259.0,26.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,0,0,0,1,0
s_yAP29fgyU,2022-11-02,-0.998613715171814,684.0,TV5,308.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
9YTg2GEIYD4,2022-11-02,0.9985126852989196,1709.0,Sakshi,248.0,6.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,0,0,1,0,0
aA18bagRRyM,2022-11-06,0.9977333545684814,8264.0,ABN,334.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
VXGfjdSfIpY,2022-11-08,-0.9988683462142944,7330.0,ABN,512.0,22.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,1,0,0,0,0,0
-R3_7sz4bvU,2022-11-15,0.8881499171257019,8574.0,Sakshi,564.0,35.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,1,0,0,0
kDNCpU9q_Co,2022-11-20,0.9777687788009644,4386.0,TV5,251.0,13.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
UX7LDmjPu78,2022-11-21,-0.9988046884536744,2869.0,ABN,225.0,4.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,0,1,0,0,0,0,1,0,1
mj0M4q-oyfg,2022-11-23,0.9953094124794006,2474.0,Sakshi,224.0,7.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
MopM9Z7lvwE,2022-11-26,0.990415096282959,7748.0,TV9,228.0,33.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,0,0,0,0,0,0
dNKebMzXOeE,2022-11-27,-0.9844123721122742,11908.0,TV9,264.0,12.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,0,0,0,0,0,0,0,0
RZOiHkTgOxM,2022-11-27,-0.9955344200134276,1581.0,TV9,248.0,2.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,0,0,0,0,0,0,0,0,0
YpJcbv9TEoc,2022-12-02,-0.9974982142448424,3415.0,ABN,188.0,1.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,1,0
hnaBS8j7nVg,2022-12-03,0.9891660809516908,5492.0,TV5,545.0,15.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
Vp1ETTev5GA,2022-12-05,0.9986138343811036,5454.0,Sakshi,139.0,13.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,1,0,0,1,0
mddPm2vFFfU,2022-12-07,0.9545135498046876,2950.0,Sakshi,159.0,6.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,1,1,0,0,1,1
XT4vRbyKE2Q,2022-12-15,0.9891429543495178,1785.0,Sakshi,264.0,1.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,0,1,0,0,0,0
odA8PGxV3lM,2022-12-22,-0.9951828122138976,1553.0,TV9,227.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
JjK6pM9bDeQ,2022-12-28,-0.986510694026947,553.0,TV9,277.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,0,0,0,0,0,0
GCPEx8lJ1QY,2022-12-28,-0.9976270794868468,1582.0,TV9,316.0,2.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,0,0,0,0,0,1
WGqF4ghoavU,2022-12-29,0.9883410334587096,705.0,TV9,70.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
IOWryTXIWMY,2022-12-31,-0.9952303767204284,9645.0,TV9,201.0,34.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,1,0,0,0
YeSjYZliBs4,2022-12-31,-0.9994595646858216,3729.0,TV9,151.0,16.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,0,0,0,1,0,1
gTzmdZat-fk,2023-01-03,-0.9984623193740844,2220.0,TV9,142.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,1,0,0,0
MFZkYSDZtxY,2023-01-19,0.9971420168876648,4843.0,TV9,445.0,4.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
cP35OW4I7nI,2023-01-23,0.995971381664276,1040.0,TV9,141.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,1,0,0,0
lBE81m-TGsw,2023-01-23,-0.9892149567604064,2860.0,Sakshi,270.0,17.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,0,0,0,0,0,0,0,0,0
t4D3h9uajIY,2023-01-23,-0.8243867754936218,13451.0,Sakshi,540.0,43.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
iNd34eRCSfU,2023-01-26,0.9931910634040833,6392.0,Sakshi,231.0,36.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,1,0,0,0,0,0,0
p8Md8OgHZYE,2023-01-26,0.9974855184555054,3615.0,Sakshi,199.0,4.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,1
WoSSB0tq_HE,2023-01-27,0.9978590607643129,15775.0,TV5,365.0,13.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,1,1,0,0,0,0,0,0,0
HBWyv_p2mpo,2023-01-31,0.9960397481918336,3114.0,TV9,190.0,4.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,1,0,1,0,0,1
sD8_y68T5tY,2023-02-01,-0.983382523059845,32635.0,ABN,373.0,9.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,1,0,0,0
6aCXZJiEElI,2023-02-16,0.9894275069236756,535.0,TV9,256.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
PwkIKBM0SAU,2023-02-22,0.9462593197822572,619.0,TV9,274.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,1,0,0,0,0
DAjJtMHZUNk,2023-03-04,0.9967777132987976,967.0,TV9,304.0,1.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
6Lb-_0OVJr0,2023-03-04,0.9914903044700624,627.0,TV9,335.0,2.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,1,0,0,0,0,0,0
bhzKF7T7yu8,2023-03-10,-0.9892507791519164,21978.0,TV9,342.0,21.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,1,0,0,0,0,0,0
hcohFWOZdBc,2023-03-11,-0.9986134767532348,834.0,Sakshi,131.0,1.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
i25KSEEQ1B8,2023-03-14,0.9945710301399232,3228.0,TV9,184.0,5.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,0,0,0,0,0,0
jvi8fKU47S8,2023-03-21,0.980022132396698,5103.0,TV5,95.0,13.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,1,0,0,0,0
Ec-WRerGXwo,2023-03-27,-0.9976660013198853,2664.0,TV9,336.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
cfAVdORB3eE,2023-03-29,-0.998315691947937,10032.0,Sakshi,155.0,36.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,1,0,1,0,0
VW2IDPY27gk,2023-04-08,-0.9978308081626892,340.0,TV5,132.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
WOVf0N2wkY4,2023-04-08,-0.9991140961647034,545.0,ABN,337.0,3.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
lb71hl178VY,2023-04-16,-0.9962504506111144,38212.0,ABN,213.0,18.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,1,1,1,1,1,0,1,0,1
E1ovRVJmfjc,2023-04-17,0.9922834038734436,5418.0,TV9,151.0,22.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,0,0,0,0,0,0,0
bmC0lpOd_LY,2023-04-20,0.992971122264862,10437.0,TV9,56.0,3.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,0,0,0,0,0,0
