ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,Kakani,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,ap development,Kethireddy Venkatarami Reddy,tadipatri,Anam Ramanarayana Reddy,Corona,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
G6Rl5cQvz6s,2021-07-16,-0.9890576004981996,3120.0,Sakshi,220.0,10.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clHtaknM-Ew,2021-09-04,0.99722820520401,3212.0,Sakshi,160.0,21.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
mhvlizDlFpA,2021-09-05,0.994809865951538,2696.0,Sakshi,567.0,20.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fGVKbEOaz8Q,2021-10-23,-0.9837276935577391,786.0,Sakshi,396.0,5.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODSDtknS1rY,2021-11-15,0.9943389296531676,6649.0,Sakshi,299.0,10.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ierg_wH4yr4,2021-11-30,0.99712735414505,3776.0,Sakshi,258.0,17.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
uXiUtM4Y2q0,2021-12-15,-0.9992997646331788,38554.0,Sakshi,205.0,112.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
FN8wVXmUL9U,2021-12-20,0.9988393187522888,16613.0,Sakshi,408.0,50.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x8TrUL6UyRk,2022-01-07,0.9923098087310792,26876.0,Sakshi,224.0,39.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oILYOdKy7RA,2022-01-14,0.9915488958358764,85518.0,Sakshi,281.0,161.0,prathipadu.png,Purnachandra Prasad Parvatha,YSRCP,Prathipadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
