ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,yuvashakti,suprem court,ap development
zKt9Aq_Ffxk,2022-11-24,-0.9869037866592408,1251.0,TV9,454.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
WWVpuGpYu0I,2022-11-24,-0.9987805485725404,3089.0,TV5,265.0,10.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,1,1,0,0,0,1,0
oro2toCI398,2022-11-24,0.9945797920227052,1016.0,ABN,265.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,1,0,0,0,0,0
O89uuXfm6tc,2022-11-28,0.9756786823272704,1154.0,TV9,207.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,1,1,0
KuYSbCtmHlQ,2022-12-01,-0.9994314312934875,921.0,TV9,478.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
uCPCdlbB_2I,2022-12-02,0.984863817691803,672.0,TV9,446.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
Azqzn9TLh-8,2022-12-10,0.9960606694221495,184986.0,ABN,525.0,517.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
ue0dBYGyvvM,2022-12-16,0.9985836744308472,1517.0,Sakshi,224.0,3.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,1,1,1,0,0,0,0,0
o_grxGgQYmk,2022-12-19,-0.9988879561424256,702.0,TV9,159.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,1
O57CVNAiCqc,2022-12-20,-0.9993365406990052,763.0,ABN,63.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,1,0,0,0,0,0,0,0
mFt9TaI8kPk,2022-12-23,-0.9968904852867126,27652.0,ABN,410.0,35.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,1,1,0,0,0,0,0
l30lT6rGdy4,2022-12-23,-0.9856243133544922,1647.0,TV9,262.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
JOdK1WM-M0A,2022-12-28,0.9948673248291016,3740.0,Sakshi,289.0,10.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,0,1,0,1,0,0,0,0,0
OcgaYj1xoKo,2022-12-29,-0.999222993850708,1197.0,TV5,93.0,3.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
0puMHRfgAE8,2022-12-29,0.9677399396896362,1186.0,TV9,102.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
waoFraT_0po,2022-12-31,0.9988299012184144,1842.0,Sakshi,335.0,5.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,1,1,1,1,1
BA0cuulfReU,2022-12-31,0.9977957010269164,55144.0,ABN,310.0,161.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,1,0,0,0,0,1
P3AnX2oq2MY,2023-01-08,-0.9976218342781068,25375.0,TV9,384.0,14.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
Ezr4xnpy5RU,2023-01-08,-0.998059093952179,3317.0,TV9,404.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
