ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,jr ntr,Atchannaidu,high court,gorantla ,alliance,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,Kakani,vijayasai reddy,kotamreddy ,lakshmi parvathi,roja,vidya deevena,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,investors summit,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,ap development,chintamaneni prabhakar,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,butchaiah chowdary,janasena alliance with tdp,gudivada ,bhuma akhila priya,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
iVYQ3frTJZQ,2021-11-25,0.9961904287338256,591.0,Sakshi,389.0,0.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mwv06jnlH7Y,2021-11-25,-0.9976626634597778,15797.0,Sakshi,106.0,32.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nle9yCZddRs,2021-11-25,-0.9073516130447388,575373.0,Sakshi,261.0,510.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0L9zew0SBx8,2021-11-27,-0.9977948665618896,230050.0,Sakshi,263.0,395.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IZj7cND56Rg,2021-12-01,-0.9967535138130188,216351.0,Sakshi,267.0,565.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bty4CsiAIlw,2021-12-04,0.9962594509124756,2484.0,Sakshi,204.0,0.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeHGl9_UAXo,2021-12-05,0.998587727546692,1870.0,Sakshi,235.0,0.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YsUHKZrF45Q,2021-12-05,0.9951575398445128,1143.0,Sakshi,230.0,2.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExtF_AdpZ40,2021-12-20,0.9982119798660278,11812.0,Sakshi,289.0,49.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V1EaFNrkzck,2022-01-25,0.9859730005264282,34235.0,Sakshi,233.0,42.0,gannavaram_vamsi.png,vallabhaneni vamsi mohan,YSRCP,Gannavaram,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
