ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
ZOEFWhhytpQ,2022-12-05,0.9967871904373168,1164.0,TV9,163.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12Ga5soArfk,2022-12-08,-0.99931538105011,3274.0,ABN,265.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TM8HOn9jx9I,2022-12-11,-0.9983116388320924,5505.0,TV9,218.0,26.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gq1mPhqq1Xg,2022-12-12,0.9962512850761414,1639.0,TV9,148.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,0,0,0,0,0,0,1,1,0,0,1
HRx-9IlpFlg,2022-12-12,0.9988640546798706,1587.0,Sakshi,260.0,6.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,1,1,0,0,1,1,1,1,1,1,1
uoWboSTjty4,2022-12-12,0.9941218495368958,887.0,TV9,55.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MnWaueq6S1c,2022-12-12,0.9982479810714722,2332.0,TV9,234.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,1,0,0,0,1,0,1,1,0,1,1,1
TPYzqqpPiPw,2022-12-13,0.9871750473976136,3812.0,TV9,231.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,1,0,0,0,1,0,0,0,1,1,1,1
pKJPz7-ppzY,2022-12-14,0.9982655644416808,555.0,Sakshi,467.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PcSdCdPFe1s,2022-12-19,0.9882946014404296,5203.0,TV9,198.0,4.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ezgL7p35UEI,2022-12-22,0.9966599941253662,932.0,Sakshi,234.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,1,1,0,0,0,0,0,0,1,0
AmfgAtOmMu0,2022-12-23,-0.9983267188072203,72156.0,TV9,301.0,110.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,0,0,0,0,0,0,0,0,0
k6tLFPZXJis,2022-12-23,0.998654842376709,5252.0,TV9,345.0,10.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,1,0,1,0,0,0,0,0,0
i95O89P1pgM,2022-12-25,-0.9693247079849244,1065.0,ABN,494.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
