ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,Kakani,vijayasai reddy,jogi ramesh ,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,vangaveeti radha,suprem court,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
ORonIeNNLT0,2020-03-09,0.9942318797111512,5628.0,Sakshi,215.0,2.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nZDFuzE7iOA,2020-03-10,-0.9826897382736206,83606.0,Sakshi,334.0,14.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xIzaRyJp5v0,2020-03-10,-0.9994645714759828,1644.0,Sakshi,86.0,3.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEYzhS8Xc2s,2020-03-11,0.9918084740638732,10817.0,Sakshi,440.0,4.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8RX5_tG_BF8,2020-03-12,-0.9976853132247924,1093.0,Sakshi,548.0,2.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paznjRy1AtU,2020-03-14,0.9866418838500975,705.0,Sakshi,241.0,1.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
xB5bkYnYCVI,2021-02-14,0.9976351261138916,16779.0,Sakshi,229.0,12.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
VHzx0OYJ1Eo,2021-02-16,0.9959558248519896,3615.0,Sakshi,274.0,2.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
Qx0yhF8vO5o,2021-02-16,0.9910224676132202,5036.0,Sakshi,320.0,0.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
8tcYB7zH-QM,2021-02-17,-0.9977787137031556,53901.0,Sakshi,493.0,59.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wcNH4CBc-YE,2021-02-17,-0.9948487877845764,73404.0,Sakshi,168.0,92.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fj32Pzp_4pw,2021-02-17,0.9974365830421448,1692.0,Sakshi,295.0,1.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nq0093qgvak,2021-02-18,0.9979453682899476,1508.0,Sakshi,182.0,2.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
h1cgF54SNJo,2021-02-21,0.9986677169799804,25177.0,Sakshi,303.0,4.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
RBYXpMEUGtI,2021-02-21,0.9958101511001588,802.0,Sakshi,201.0,0.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kS7arTQeJlY,2021-06-14,0.9940703511238098,5089.0,Sakshi,492.0,9.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWwChmaP6C0,2021-07-14,-0.9968889355659484,3630.0,Sakshi,585.0,15.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnH8Yj5t_xk,2021-08-07,-0.9987094402313232,9206.0,Sakshi,205.0,33.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MxJ6-NNLFqQ,2021-10-04,-0.9954184293746948,24977.0,Sakshi,61.0,33.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-y2QUoq8Acg,2021-10-05,-0.993069589138031,5543.0,Sakshi,77.0,19.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pkdP0XK1RR0,2021-10-05,-0.9985322952270508,1643.0,Sakshi,81.0,8.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G6tFpwxVgWc,2021-10-05,-0.996183454990387,6394.0,Sakshi,175.0,17.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k1vJho5IOEw,2021-10-06,0.9940873384475708,2477.0,Sakshi,53.0,6.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Y_YK1tVgmXk,2021-10-23,-0.9982340335845948,4332.0,Sakshi,121.0,18.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qVSDfKKnOEk,2021-10-23,-0.9994718432426452,662.0,Sakshi,268.0,4.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSsKHtEYRZ4,2021-10-23,-0.99656879901886,585.0,Sakshi,190.0,1.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IzWnh96jswQ,2021-10-23,-0.9994718432426452,16110.0,Sakshi,142.0,37.0,penamaluru.png,kolusu parthasarathy,YSRCP,Penamaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
