ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,visakha,Kakani,kotamreddy ,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
CQ6meSBHexw,2022-03-12,0.9988119602203368,1864.0,Sakshi,144.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
hGTToAKK0Ko,2022-03-12,0.9985901713371276,2834.0,Sakshi,251.0,8.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
IxApu3gClnw,2022-03-14,-0.998526692390442,5441.0,Sakshi,138.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
s4ChF3oZPyY,2022-03-16,0.9955728054046632,1806.0,Sakshi,77.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
pxh4c77VbV8,2022-03-21,0.9954307079315186,2213.0,Sakshi,346.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
378lEpJFXEk,2022-03-24,-0.9964560866355896,954.0,Sakshi,477.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nMwBvSLX8IY,2022-03-24,0.9943441152572632,119001.0,Sakshi,467.0,114.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MlOBJ60gGfM,2022-03-25,0.9843175411224364,571.0,Sakshi,371.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FuazgwAllZI,2022-04-11,0.991418719291687,42224.0,Sakshi,577.0,8.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ks99X7TUqGg,2022-04-19,0.998596489429474,41175.0,Sakshi,210.0,23.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
