ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,visakha,roja,srikakulam,yuvashakti,suprem court,ap development,tadipatri
_pGQZZa2Cvo,2022-11-23,-0.9982417821884156,2009.0,Sakshi,157.0,8.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
1XDNy_5yG5I,2022-11-28,0.9984961748123168,4306.0,TV9,240.0,5.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
BErRf5HKZgg,2022-11-29,-0.9989107847213744,2870.0,TV9,236.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hnaBS8j7nVg,2022-12-03,0.9891660809516908,5492.0,TV5,545.0,15.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7YNq1UUpzg,2022-12-05,-0.9512428045272828,2059.0,ABN,245.0,2.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4UkrE-4diqE,2022-12-16,0.9914275407791138,3660.0,TV9,177.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
OQWIsCZbIQ4,2022-12-16,0.9954754710197448,17076.0,Sakshi,502.0,15.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KuQ4W89-GxU,2022-12-30,-0.8128105401992798,981.0,TV9,66.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
zofcWCXSQKM,2022-12-30,0.9911603331565856,3169.0,TV9,77.0,13.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
VOOZR9Yj2qA,2022-12-31,-0.991418480873108,6550.0,TV9,198.0,18.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
