ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,Atchannaidu,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
5sNALgAMfKc,2021-11-20,0.9905733466148376,26612.0,Sakshi,504.0,136.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prwnGpaaWts,2021-12-17,0.998335301876068,11737.0,Sakshi,74.0,37.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
y_5bfMnmP0Q,2021-12-28,0.8778063654899597,38233.0,Sakshi,216.0,151.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNgOvmt1wac,2021-12-28,-0.9993532299995422,10607.0,Sakshi,387.0,26.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_dLF-mUGAo,2021-12-28,-0.9992793202400208,52547.0,Sakshi,140.0,198.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhJkfRtjx6Y,2021-12-30,-0.992892861366272,19569.0,Sakshi,331.0,78.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rEDbuMMbJaA,2022-01-23,-0.9991119503974916,2998.0,Sakshi,231.0,45.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cPQOVKU_e5Q,2022-01-23,-0.9986758828163148,39340.0,Sakshi,247.0,140.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
vzwD0SmlhmM,2022-01-28,-0.9985209107398988,77676.0,Sakshi,222.0,107.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7mEZjLQhKQc,2022-02-10,0.998143434524536,14680.0,Sakshi,358.0,13.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3tau0zM_Lig,2022-02-11,0.9874414205551147,2562.0,Sakshi,193.0,4.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V13dWe0l2CQ,2022-02-11,0.9952067732810974,30133.0,Sakshi,501.0,7.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rlLbFn0-peE,2022-02-11,-0.9991580247879028,25112.0,Sakshi,71.0,34.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6_3a2mS6918,2022-02-11,0.993306577205658,63088.0,Sakshi,569.0,93.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dDKR8dTKidY,2022-02-14,-0.9861568212509156,22774.0,Sakshi,269.0,109.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rSHb0zdGFgs,2022-02-15,0.9975428581237792,57728.0,Sakshi,433.0,105.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uRxEfl-dbzY,2022-02-20,-0.996707558631897,16916.0,Sakshi,108.0,28.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB0n-V_pucc,2022-02-20,-0.9985584616661072,21217.0,Sakshi,173.0,51.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
