ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,tadipatri,nandigama
sUug88oVfRk,2022-11-18,0.9971278309822084,2094.0,TV9,180.0,1.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
eIyEJf6g7Xw,2022-11-18,-0.9829376339912416,10688.0,TV5,225.0,27.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
UfMW-13qJeY,2022-11-19,0.9974344372749328,2312.0,TV9,91.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Y80HdGR_dVw,2022-11-21,0.9888389110565186,44005.0,TV9,315.0,35.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1rUZDM3IKOU,2022-11-25,-0.9930508136749268,554.0,ABN,250.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VRGRfCleKUQ,2022-11-26,0.9980810880661012,1568.0,TV9,255.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gctVx9Eo59Q,2022-11-26,-0.995294988155365,1514.0,TV9,183.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
-Iwrw22efb0,2022-12-09,-0.9994882345199584,1186.0,TV9,72.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
sMFg_r_ffDs,2022-12-09,-0.9953768253326416,17910.0,TV5,143.0,40.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4eLjXxGJhiQ,2022-12-09,-0.999283730983734,468.0,ABN,232.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
flFYl_tHnvc,2022-12-09,-0.998630702495575,1161.0,TV9,237.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q8137bfINtQ,2022-12-09,-0.984171450138092,6210.0,TV9,148.0,22.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
09T2fTl7N34,2022-12-10,-0.998022198677063,2274.0,TV9,127.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oSFAOLmXjpE,2022-12-10,-0.9971923232078552,14684.0,ABN,269.0,20.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
qvCW1iJl9B0,2022-12-10,-0.9990787506103516,23532.0,TV9,40.0,30.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LXqg1pJiGTU,2022-12-11,0.9985222220420836,2585.0,ABN,590.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
QzO-mIFKSDE,2022-12-13,-0.9937892556190492,426790.0,TV9,320.0,370.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
a6G7GbPU-W8,2022-12-13,-0.6507529020309448,781.0,TV9,279.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HZ67NBd3oxc,2022-12-14,0.989526867866516,1965.0,TV9,323.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
QYcoZ5zYOPc,2022-12-14,0.9978417158126832,1716.0,TV9,107.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1
gMUEpArgRpE,2022-12-14,-0.9976778626441956,518.0,TV9,262.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XJ5CqQ4_OWs,2022-12-14,0.9987975358963012,1263.0,TV9,74.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
noaS9QEjPXM,2022-12-14,0.9979856014251708,2738.0,TV9,148.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
9BS8RLBbsDQ,2022-12-15,0.995175004005432,592.0,ABN,355.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GGteGtqTEbQ,2022-12-15,0.9987806677818298,588.0,TV9,231.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
eJUfnEJ5ZQY,2022-12-16,0.9970749616622924,28108.0,TV9,407.0,26.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PpByanwhfI4,2022-12-16,0.9946455955505372,2926.0,ABN,359.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_P0EPZsmcps,2022-12-19,0.9979320764541626,3243.0,TV5,395.0,8.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
QyGxitUxYQQ,2023-01-05,0.9947109222412108,27254.0,TV9,493.0,33.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
z66tg5j8mTE,2023-01-05,0.9982566237449646,2452.0,ABN,315.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
22vSVm4gpps,2023-01-07,-0.9984446167945862,1029.0,ABN,483.0,1.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
z7ZQ1PIymFQ,2023-01-07,0.9979389309883118,3931.0,TV9,385.0,8.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
o4n6f2hlULE,2023-01-07,-0.9833288192749025,3269.0,TV9,187.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QCw3vgzRHyM,2023-01-07,0.9838275909423828,439.0,TV9,280.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SfxympeuhNA,2023-01-07,0.9934592247009276,1500.0,TV9,538.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFt1OXUhh0k,2023-01-07,-0.9926697015762328,1335.0,ABN,256.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
xqic8XkdneQ,2023-01-07,0.9949538111686708,1516.0,TV9,139.0,3.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
O_h8Vtl7Nps,2023-01-07,0.9942781925201416,1240.0,TV9,161.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PQLd-8Xd9BM,2023-01-07,-0.9983383417129515,3554.0,TV9,382.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NlFuEe5eTEo,2023-01-08,0.9983110427856444,81784.0,TV5,438.0,155.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0ah933QZA8s,2023-01-08,0.9895111918449402,599.0,TV9,287.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
rv8Jc6CWalQ,2023-01-08,0.9955845475196838,66430.0,ABN,342.0,113.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NfpJYv2EZns,2023-01-08,-0.9920543432235718,5274.0,TV5,248.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7ApXfZEdbbc,2023-01-11,-0.9941022992134094,20722.0,TV9,351.0,34.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
9h-SY-NVjog,2023-01-12,0.9974494576454164,7609.0,TV5,305.0,21.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFx5sKQfIHA,2023-01-12,0.9939380884170532,4219.0,TV5,145.0,9.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
