ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance
P8MErEFVlfg,2022-11-19,0.9986120462417604,668.0,TV9,432.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
-Hbel-QOp5Q,2022-11-19,0.9988534450531006,538.0,TV9,269.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,1,0,0,0,0
9TfR2rm3pTY,2022-11-23,-0.9994474053382874,3191.0,Sakshi,192.0,14.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,1,0,1,0,1
-QMRIqd9eYs,2022-11-27,0.9929749965667723,13013.0,TV9,223.0,23.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,0,1,1,1,0,0,0
OWV-n8paY8Y,2022-12-01,-0.9925385117530824,12028.0,Sakshi,255.0,57.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,0,0,1,0,1,0,0
CUHmY8_F8pQ,2022-12-02,-0.9959851503372192,2859.0,TV9,71.0,5.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,1,0
gNRA1zOoICM,2022-12-06,0.9968245029449464,2804.0,Sakshi,174.0,7.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,1,0,0,0,0
09T2fTl7N34,2022-12-10,-0.998022198677063,2274.0,TV9,127.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
-TrlTIAdL-o,2022-12-12,0.6994025111198425,15013.0,TV9,271.0,22.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
aVtMrTeG0Fk,2022-12-15,0.9432969689369202,1116.0,ABN,280.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,1,0
wdfrYFQhDTM,2022-12-17,-0.9980140924453736,1192.0,TV9,343.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,0,0,0,0,1
