ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
os-FeouruiE,2022-02-08,-0.998377561569214,8156.0,Sakshi,291.0,36.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R6XYG6b9KKY,2022-03-09,0.9979215264320374,1340.0,Sakshi,428.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ieXtkwBnXw4,2022-03-10,0.9976741671562196,5382.0,Sakshi,308.0,4.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ci6sOO35cxo,2022-03-10,0.9988120794296264,2196.0,Sakshi,490.0,3.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3AsyQQxea48,2022-03-13,0.9984537363052368,6198.0,Sakshi,235.0,9.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9qJrkeNezN8,2022-03-15,0.9937106370925904,2625.0,Sakshi,393.0,5.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-xH_IUuQ5Yg,2022-03-16,0.9984279870986938,7735.0,Sakshi,182.0,6.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
TKC8z3ZAyrY,2022-03-16,-0.98351788520813,6599.0,Sakshi,110.0,5.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
QShnsvy9JrM,2022-03-18,0.9946101903915404,10029.0,Sakshi,548.0,37.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nmpafdDglBw,2022-03-21,-0.9946692585945128,1030.0,Sakshi,212.0,0.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
iZxmtNJIezk,2022-03-22,0.9938973784446716,425.0,Sakshi,355.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
lwGT1hq0A4A,2022-03-22,-0.994674563407898,580.0,Sakshi,200.0,4.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
2Fo7otFjs5A,2022-03-22,0.9957950115203856,1871.0,Sakshi,353.0,9.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3iJ60kx8I8A,2022-03-22,0.994270920753479,1740.0,Sakshi,380.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-w2w2Ntw0Fk,2022-03-23,0.9932841062545776,803.0,Sakshi,458.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
flqZfvGi4i4,2022-03-25,0.9966811537742616,569.0,Sakshi,361.0,0.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CJyWJ5t1G4E,2022-03-26,0.9909626841545104,1574.0,Sakshi,189.0,4.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
y6VlHVc9t-M,2022-05-05,-0.9963775277137756,119680.0,Sakshi,316.0,137.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pv5Q-9rByy4,2022-05-12,0.9970433115959167,14835.0,Sakshi,263.0,47.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIvNBXNJKYc,2022-06-06,0.99765282869339,113104.0,Sakshi,119.0,391.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
QwCwEvNpXYA,2022-06-17,0.9973576664924622,3698.0,Sakshi,325.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4sDdzdvrD7I,2022-06-19,-0.9924490451812744,139703.0,Sakshi,461.0,429.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
