ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,Sajjala ,ap assembly session today,high court,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
_MBsQot7ats,2021-11-03,0.979207456111908,4554.0,Sakshi,451.0,26.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OC3k4z2DX9k,2021-11-15,0.9971492886543274,3488.0,Sakshi,318.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
iG3LVH-aZAk,2021-12-29,-0.9971863627433776,21963.0,Sakshi,224.0,69.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ixAqfnO_l-U,2022-01-01,0.989788055419922,4265.0,Sakshi,377.0,63.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N_Fj6e60ELc,2022-01-03,-0.9927668571472168,1535.0,Sakshi,214.0,2.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erj6dCAiyug,2022-01-05,-0.9990785121917723,7228.0,Sakshi,308.0,29.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kv3KAaM_dog,2022-01-05,-0.9990450739860536,2376.0,Sakshi,234.0,6.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FkKfY5KVZzw,2022-01-07,-0.9982520937919616,423854.0,Sakshi,219.0,666.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
U-rKfRSi79M,2022-01-07,-0.998302698135376,16293.0,Sakshi,255.0,36.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DZpDs7wpK7E,2022-01-07,-0.9992570281028748,2060.0,Sakshi,65.0,13.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4rGAusTR1Ew,2022-02-02,-0.9980323910713196,9067.0,Sakshi,547.0,108.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
m-6rDsuJk4g,2022-02-03,0.996238112449646,10752.0,Sakshi,362.0,86.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
UamNFa4UxaA,2022-02-07,0.9895917773246764,7748.0,Sakshi,534.0,34.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
e1IY1r2C1jc,2022-02-07,0.9986721277236938,10829.0,Sakshi,349.0,39.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
P6qp1ZIkqYM,2022-02-15,0.9782343506813048,16831.0,Sakshi,572.0,167.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
n5kHRsLPoiM,2022-02-15,0.9927086234092712,60671.0,Sakshi,235.0,92.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0BO89Pn5FnI,2022-02-17,0.9883672595024108,7603.0,Sakshi,479.0,5.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11YDaiRlgo0,2022-02-20,-0.995184361934662,4285.0,Sakshi,300.0,14.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38ufnk45Omg,2022-03-01,0.9975848197937012,8059.0,Sakshi,368.0,71.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
d6Wy50wd_L4,2022-03-09,-0.9832133054733276,3437.0,Sakshi,353.0,4.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EunmtyztLy8,2022-03-09,0.997954249382019,22608.0,Sakshi,445.0,89.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wM5RhSeRwGY,2022-03-10,0.991710901260376,3566.0,Sakshi,439.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNNGJHxAYIg,2022-03-10,0.9815468788146972,21839.0,Sakshi,263.0,26.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-n84XSSeeJY,2022-03-12,0.998387336730957,2619.0,Sakshi,195.0,3.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cwYkcgcTbs,2022-03-14,-0.992106318473816,3763.0,Sakshi,274.0,7.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9qJrkeNezN8,2022-03-15,0.9937106370925904,2625.0,Sakshi,393.0,5.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K_SBvpldXGY,2022-03-16,-0.9878273606300354,2361.0,Sakshi,63.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nmT-SqgsX_c,2022-03-16,0.994838297367096,1445.0,Sakshi,520.0,5.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tab7f7t6QMg,2022-03-17,0.994526207447052,4146.0,Sakshi,515.0,23.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6i6jR6tbLpY,2022-03-21,0.9960595369338988,9393.0,Sakshi,207.0,53.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
SsvxXdKTpFg,2022-03-22,-0.9944215416908264,3837.0,Sakshi,218.0,7.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
UAKpLtErfgM,2022-03-25,0.9957950115203856,332.0,Sakshi,558.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTme3-fqMT4,2022-03-26,0.9983318448066713,7011.0,Sakshi,243.0,7.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
qi48CJOcb_I,2022-03-29,0.998181939125061,6370.0,Sakshi,214.0,25.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XSvnkkPrY8w,2022-03-31,-0.996023178100586,4081.0,Sakshi,526.0,78.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L4EEy631OWs,2022-04-11,0.987160325050354,2164196.0,Sakshi,165.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
thrteRi8e1s,2022-04-14,-0.999373495578766,38434.0,Sakshi,257.0,291.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1pOShz83wkA,2022-04-14,-0.9981968998908995,31172.0,Sakshi,111.0,209.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
PWY54emnyes,2022-04-19,-0.9911279678344728,72575.0,Sakshi,250.0,339.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUFxLqJGCz4,2022-04-21,0.9981834292411804,8637.0,Sakshi,250.0,41.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dxi1rw1pZ3k,2022-04-28,-0.998132050037384,19184.0,Sakshi,79.0,40.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zZeHNJhgSdM,2022-06-08,-0.9976589679718018,7605.0,Sakshi,133.0,24.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0
4sDdzdvrD7I,2022-06-19,-0.9924490451812744,139703.0,Sakshi,461.0,429.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
lzY5PJbCX6g,2022-06-30,0.9972615242004396,1513.0,Sakshi,50.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
vtPNs-YpUxY,2022-06-30,-0.9970909357070924,2989.0,Sakshi,492.0,3.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kMXpRnDGc5E,2022-07-08,0.9983786344528198,1121741.0,Sakshi,554.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h2xqf4a6pcU,2022-07-08,0.9963286519050598,4852.0,Sakshi,517.0,4.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EsJwJdOCNk8,2022-07-10,0.997364342212677,63847.0,Sakshi,571.0,38.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MxZ72EVPxAg,2022-07-16,0.9944376945495604,21839.0,Sakshi,575.0,71.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c62fWrbGOwY,2022-07-19,-0.9939746260643004,39318.0,Sakshi,590.0,148.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
z-_I5QUuNsw,2022-07-22,0.9933016300201416,6880.0,Sakshi,538.0,57.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1WKsJHsQQpU,2022-07-25,-0.9872273206710817,4181.0,Sakshi,401.0,15.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mXLOSXLCUz8,2022-07-28,0.995287537574768,147902.0,Sakshi,308.0,178.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
vMdww09qHvw,2022-08-08,0.9979845285415648,154533.0,Sakshi,597.0,603.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
U8gwzsNZaLw,2022-08-21,0.998731791973114,1825.0,TV5,400.0,5.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3imO0xsGTFE,2022-08-23,0.9958283305168152,24009.0,Sakshi,283.0,41.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HaT_P5cKp7o,2022-08-27,0.9928038716316224,1263.0,TV5,574.0,5.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i7ht2emR1q0,2022-08-31,-0.9422112703323364,1827.0,TV5,80.0,4.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
fUlf_E3cb14,2022-09-02,0.9964816570281982,7835.0,Sakshi,134.0,9.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
g4vZv_pDzzA,2022-09-07,0.9856188297271729,7494.0,TV5,289.0,6.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8-W66WIBnqo,2022-09-08,-0.999077320098877,2045.0,TV5,319.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1H0ZydUFcSk,2022-09-08,0.9985081553459167,3480.0,Sakshi,133.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
yeJSWM3lsag,2022-09-09,-0.9984591007232666,11970.0,Sakshi,102.0,10.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0eByJbEzaa0,2022-09-13,-0.9988844990730286,4841.0,TV5,295.0,8.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
gcNfBDHcnws,2022-09-14,-0.9923242330551147,11526.0,TV5,442.0,4.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ny04yDZszQ,2022-09-15,0.9986783862113952,802.0,Sakshi,205.0,3.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4iPagfoDBTA,2022-09-16,0.961049497127533,101662.0,TV5,270.0,73.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7cZ3fZYaOkQ,2022-09-16,-0.9984563589096068,8198.0,TV5,141.0,9.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrbOaSq_rUQ,2022-09-17,-0.9935125708580016,4091.0,Sakshi,170.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MUUMnVro27U,2022-09-17,0.9512782096862792,5970.0,TV5,231.0,10.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
zbVWF4lXfAw,2022-09-19,-0.9978391528129578,1475.0,TV5,331.0,7.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
jJPxPeG07Jw,2022-09-20,0.9938921928405762,3378.0,Sakshi,592.0,6.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbx8nI2o5Jk,2022-09-20,0.9931288957595824,15195.0,TV5,260.0,21.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OaIyzZC_UFY,2022-09-20,0.998155415058136,1604.0,Sakshi,189.0,2.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
j7OG9GxsiyQ,2022-09-25,-0.973308265209198,2031.0,TV5,270.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5hg6yrOoJhM,2022-10-02,0.9965717792510986,20100.0,Sakshi,522.0,13.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tD_vh8N5PU4,2022-10-03,-0.9961429238319396,13539.0,TV5,165.0,39.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K_U-QRC0dpc,2022-10-04,0.9854156374931335,1693.0,Sakshi,188.0,12.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IBFORdLiYdM,2022-10-10,-0.9931796789169312,119492.0,Sakshi,430.0,193.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V9inUXAnM_Y,2022-10-10,-0.994945466518402,562.0,TV5,242.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3Pm07N2AQw,2022-10-14,0.99770325422287,2478.0,Sakshi,237.0,52.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
ugKDn-WcTgQ,2022-10-14,-0.9923743605613708,678.0,TV5,220.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-SjN-GL21fw,2022-10-15,-0.9978500604629515,1456.0,ABN,292.0,2.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
TBeE9koItzk,2022-10-15,-0.9980711340904236,1616.0,TV5,330.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
n0w20hMd3xs,2022-10-15,-0.9921486377716064,11217.0,TV5,445.0,23.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0gzx5P99zA,2022-10-17,0.985136330127716,6931.0,TV5,125.0,1.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CvgDQbopouM,2022-10-20,-0.996459424495697,20849.0,Sakshi,574.0,115.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eJN-MpC31Og,2022-10-21,0.9881028532981871,670.0,ABN,236.0,0.0,pileru.png,c ramachandra reddy,YSRCP,Pileru,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
