ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,AP ,yuvagalam,YS Viveka Case,ap employees,high court,alliance,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,yuvashakti,tadepalli,ys vijayamma,suprem court,Devineni Avinash,ap development,tadipatri,Anam Ramanarayana Reddy,High Court
DxQclU1L0T4,2023-03-11,0.997501790523529,4160.0,TV9,311.0,0.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0giQFJ264tc,2023-03-11,0.9934262037277222,29239.0,ABN,236.0,14.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Zns6hY9dhpk,2023-03-11,-0.99925297498703,445.0,TV9,300.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bq8e1VQWytc,2023-03-14,-0.9921168684959412,95924.0,ABN,338.0,63.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suq0sYx2fHY,2023-03-17,0.9815279245376588,10664.0,TV9,272.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1
OAd7llOmS3Q,2023-03-27,-0.9979516863822936,6043.0,ABN,121.0,7.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpAfUB0uyeg,2023-04-11,-0.9978067278862,968.0,TV9,53.0,3.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
bTv7jMj7jWw,2023-04-11,0.6833752989768982,1164.0,TV9,319.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
8BjpRw7myAw,2023-04-12,-0.6324501037597656,2753.0,TV9,207.0,5.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-K1whv7t7lA,2023-04-12,0.9898513555526732,11600.0,TV9,194.0,29.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jC5a5L6wPuk,2023-04-15,-0.9928444027900696,4324.0,ABN,57.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VY9sDdB_yj0,2023-04-16,-0.8381189703941345,15152.0,TV9,95.0,33.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
idcoN201oEE,2023-04-16,-0.9933786392211914,3286.0,ABN,281.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2bYibqOy9hk,2023-04-16,0.9836390018463136,4503.0,ABN,202.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Fx6WL1zWoPI,2023-04-16,-0.9856333136558532,22092.0,TV5,235.0,32.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
KJCle7nApyM,2023-04-16,0.9544713497161864,4527.0,TV9,321.0,5.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_JuIxygPgSs,2023-04-16,-0.959656536579132,36489.0,ABN,288.0,36.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
yUHV4yRFv9g,2023-04-16,-0.9736407399177552,2833.0,ABN,99.0,3.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Tvbuj8_b_Ms,2023-04-17,-0.9989970326423644,4169.0,TV9,291.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0
nGGuXRlB0-A,2023-04-17,0.9914665222167968,8416.0,TV9,317.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
lPH-YtBjvxk,2023-04-17,-0.9952332377433776,110573.0,ABN,207.0,62.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RCPop-8lJrk,2023-04-17,-0.9993299245834352,4072.0,TV9,189.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
mZKrjLN3hA8,2023-04-18,0.9961752891540528,2961.0,TV9,226.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1
XbxxnTdpAOA,2023-04-18,-0.9934167861938475,16396.0,TV5,346.0,15.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VxI1S_KWac,2023-04-18,-0.994635045528412,29842.0,ABN,247.0,13.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7OiBDUYMRsg,2023-04-18,0.99398934841156,2457.0,TV9,190.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ZhlmEtvNSEE,2023-04-18,-0.9886925220489502,1134.0,TV9,118.0,0.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
jF8dKZmgNoY,2023-04-18,-0.9853597283363342,2502.0,TV9,294.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
rK6Ji3BWjnY,2023-04-18,0.9971883893013,59654.0,TV5,305.0,94.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0NKPeOH2aTw,2023-04-18,-0.9931267499923706,3998.0,TV9,205.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ceef-cx2-mk,2023-04-18,0.9948185086250304,3577.0,TV9,159.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
WiIR06W6I4s,2023-04-18,-0.9942032694816588,16659.0,TV9,228.0,9.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
lpm3m86Dcp0,2023-04-18,0.9942225813865662,3295.0,TV9,190.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1
BfQ38K8O-Jo,2023-04-18,0.9835010766983032,4896.0,TV9,157.0,5.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tFHl6ZMrUZ0,2023-04-19,0.9924386143684388,7238.0,TV9,235.0,9.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
-rbGOn1i0_I,2023-04-19,-0.9873713254928588,3762.0,TV5,315.0,10.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8oGda9N0k9k,2023-04-19,0.9791077971458436,1146.0,TV9,158.0,0.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
5Z-DaW6etEE,2023-04-20,0.9979822635650636,2010.0,TV9,184.0,0.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ww77_LNZL6o,2023-04-21,0.9957833290100098,10578.0,TV9,279.0,6.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
