ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,kotamreddy ,undavalli arun kumar,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,butchaiah chowdary,Corona,gudivada ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
eCHzqLTsY4w,2021-09-11,-0.9916503429412842,1462.0,Sakshi,234.0,0.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XnnQqfFbkXo,2021-11-13,0.9977280497550964,15586.0,Sakshi,237.0,7.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
OhJkfRtjx6Y,2021-12-30,-0.992892861366272,19569.0,Sakshi,331.0,78.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTdm7LoxPTY,2022-01-10,-0.9987757802009584,83972.0,Sakshi,100.0,141.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1aUVqsJtgY,2022-01-11,-0.998342514038086,43262.0,Sakshi,99.0,160.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
YV5rr876ZdI,2022-01-28,0.9927310347557068,30295.0,Sakshi,591.0,47.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tkhy3NMzynI,2022-02-04,0.989613711833954,4719.0,Sakshi,335.0,9.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g_Dme6NFOkw,2022-02-05,-0.9885308146476746,2607.0,Sakshi,282.0,6.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8t385rLA_1g,2022-02-07,-0.6318177580833435,6579.0,Sakshi,165.0,7.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ijvyGyLU33o,2022-02-13,-0.991263747215271,10900.0,Sakshi,185.0,34.0,jammalamadugu.png,Mule Sudheer Reddy,YSRCP,Jammalamadugu,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
