ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,Sajjala ,ap assembly session today,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
_OY0BG2-dfA,2021-12-10,-0.9994237422943116,2960.0,Sakshi,251.0,2.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
DEOMKvYdKMc,2021-12-15,0.9987772107124328,9005.0,Sakshi,205.0,31.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
Rldx3mqk1-g,2021-12-31,-0.9937627911567688,5346.0,Sakshi,282.0,9.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hosa_UUOjOs,2022-01-07,-0.9801689982414246,121188.0,Sakshi,65.0,126.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
GowxJr59hhk,2022-01-08,-0.9988093376159668,10243.0,Sakshi,162.0,36.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oNBvQNDbPOc,2022-01-13,-0.9925589561462402,50195.0,Sakshi,565.0,92.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jOomTWzknT4,2022-01-18,0.9987480640411376,1585.0,Sakshi,227.0,4.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
iEtPWdA1fdI,2022-02-06,0.9974219799041748,88656.0,Sakshi,159.0,258.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
hSS2tUaku4Q,2022-02-17,0.9932726621627808,70806.0,Sakshi,379.0,27.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdufPIKdDR8,2022-02-21,0.996485471725464,4692.0,Sakshi,93.0,5.0,nellore_l.png,Adala Prabhakar Reddy,YSRCP,Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
