ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram
-6TDYrlU9zs,2023-02-23,-0.999053418636322,3783.0,TV9,183.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
pm4KapLLzK0,2023-02-23,0.9963380098342896,14465.0,TV9,242.0,11.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,0,0,0,0,0,0,0
-nEQts_Oj_8,2023-02-23,-0.9991934895515442,7857.0,TV9,304.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
jNlgPO7TZe4,2023-02-25,-0.9354254007339478,15397.0,TV9,252.0,26.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
CmIz888oNgc,2023-02-25,-0.998960256576538,501.0,TV9,164.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,1,0,0,0,0,0,0,0,0
TpH8XraPWiM,2023-03-01,-0.990876853466034,537.0,TV9,308.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
mla54R5yjdk,2023-03-01,0.9885531663894652,1486.0,TV9,341.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
-W_zgJqKZ5A,2023-03-04,-0.991165816783905,232910.0,TV9,213.0,46.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,1,0
2_i85JUk_AM,2023-03-16,-0.9992757439613342,889.0,TV9,331.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
fYqvHBL7KIg,2023-03-17,-0.998498797416687,189590.0,TV9,124.0,190.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
djE9Mx_gCUk,2023-03-17,-0.9926124811172484,59694.0,TV9,186.0,145.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
0yNUcrgBlSs,2023-03-17,0.9959115982055664,299068.0,TV9,339.0,586.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,0,0,0,0,0
P_4Cd19QDps,2023-03-17,-0.99787175655365,63492.0,TV9,211.0,120.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,0,0,0,0,0,0,0
hgdupJj0CGg,2023-03-17,-0.998621702194214,113269.0,TV9,253.0,168.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,1,0,0,0,0,1,0
vuo-sWKKAf4,2023-03-18,0.9985326528549194,27551.0,TV5,220.0,11.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,0,1,0,0,1,0,0,1,1
WN1HmFQvzkQ,2023-03-23,-0.9963104128837584,12419.0,TV9,177.0,31.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,0,0,1,0,0,0,0,0,1
Q4S6c1kwFiU,2023-03-23,-0.9976298809051514,15432.0,TV9,180.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,1,0,0,0,0,0,1
S1WaJodUYz0,2023-03-23,-0.998760223388672,3838.0,TV9,187.0,8.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,0,0,1,0,1,0,0,0,1
pP4FY7KGvWg,2023-03-23,-0.999380588531494,8735.0,TV9,226.0,19.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,1,0,0,0,0,1,1
hkPqy5pcct0,2023-03-23,-0.9927998781204224,9599.0,TV9,301.0,24.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,0,1,0,0,0,1
D00iqCCtpUc,2023-03-23,0.9723727107048036,10283.0,TV9,247.0,19.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,0,0,0,0,0,1
1zaZcXR2B2Q,2023-03-23,-0.995995044708252,67516.0,TV9,260.0,100.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,1,0,1,0,0,1,0,1,1
Y7VOaQV-Ijg,2023-03-23,0.9849972724914552,14437.0,TV9,221.0,8.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,0,0,0,0,0,1
FMNpRZbx854,2023-03-23,-0.9918968081474304,11027.0,TV9,211.0,15.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,0,0,0,0,0,1
ehMZcOZj5Hg,2023-03-23,-0.8860967755317688,12986.0,TV9,353.0,20.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,0,0,0,0,0,1
w-8OioP-o-w,2023-03-24,-0.9939486980438232,12125.0,TV9,258.0,19.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
dIiwaHtr0_s,2023-03-25,-0.9993921518325806,1244.0,TV9,270.0,19.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Gl6cih3faJs,2023-03-25,0.9951798915863036,1227.0,TV9,222.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,1
cARIqABP3Tw,2023-03-29,-0.9875905513763428,884.0,TV5,274.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
EbyD17W4Yww,2023-03-29,-0.9994515776634216,2974.0,TV9,100.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,0,0,0,0,0,0,0,0,0
QB9RjXa3xcY,2023-03-29,-0.9978271126747132,20845.0,TV9,319.0,37.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,0,0,0,0,0,0,0
J7OU1QdWEBg,2023-03-29,-0.9994677901268004,29330.0,TV9,256.0,96.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,0,0,0,0,0
wYFPZZbmbZ0,2023-04-01,-0.9993178844451904,2517.0,TV9,241.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
KOKJuGOZ9Z0,2023-04-10,-0.9949436783790588,3377.0,TV9,228.0,9.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,1,1,1,0,1,0,0
AgTB3J4jYxQ,2023-04-10,-0.9988967180252076,1419.0,TV9,185.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,1,0,1,1,1,1
IozIswL7EZc,2023-04-10,-0.9992048144340516,2942.0,TV9,283.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,1,1,0,0,1,1,0
5plkqN7Gb3g,2023-04-10,-0.9978221654891968,8449.0,TV9,180.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,1,0,0,1,0,0
ZTl_D2056w0,2023-04-10,0.9983717799186708,14613.0,TV9,255.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,1,1,0,0,1,0,0
9m6-l3KHTOs,2023-04-12,0.9900924563407898,3409.0,TV9,308.0,9.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,1,1,0,0,0,0,0
XyCF4UImXmA,2023-04-12,-0.992997109889984,2578.0,TV9,187.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,1,1,0,1,0,0,1
Kb5uQJgo2Rs,2023-04-12,0.9954285621643066,2811.0,TV9,203.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,1,0,1,0,0,0,0
8BjpRw7myAw,2023-04-12,-0.6324501037597656,2753.0,TV9,207.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,1,1,0,1,0,0,0,0
gOrjDBlDOjk,2023-04-14,-0.9892288446426392,1413.0,TV9,212.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
omC0SH-7-_g,2023-04-16,-0.9965860843658448,3242.0,TV9,302.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
