ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram
40i3iE4aUbA,2022-10-21,-0.9915086030960084,486.0,ABN,497.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
LKiCzshW5WE,2022-10-21,-0.9891491532325744,3543.0,ABN,386.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
pSPxe3FeNxw,2022-10-28,0.9966289401054382,565.0,ABN,538.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
oHaNXsLoVI4,2022-10-28,-0.9985257983207704,1185.0,ABN,501.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
nUfp1ldD6pM,2022-10-28,0.9974247217178344,343.0,ABN,528.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Hyjq2wYrdl0,2022-11-03,-0.9994803071022034,108683.0,ABN,455.0,286.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
ShG0to5Lfgs,2022-11-03,0.9865168333053588,30131.0,ABN,515.0,95.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
rLcQft1trpo,2022-11-03,-0.999122440814972,4635.0,ABN,144.0,11.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
gdR-cUvudEQ,2022-11-03,0.9936439990997314,76768.0,ABN,581.0,153.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Ra-qcEd0SiI,2022-11-03,-0.9993858337402344,10099.0,ABN,350.0,38.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
