ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,high court,alliance,vangalapudi anitha,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, Botsa ,vijayasai reddy,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,tdp leaders arrest,ap development,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,maa nammakam nuvve jagan,nandigama,High Court
wdvUjPh5Nk0,2021-11-16,0.9966095685958862,7141.0,Sakshi,267.0,23.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26bsU5o3ErQ,2021-11-16,0.9936255216598512,17845.0,Sakshi,475.0,91.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45F7wNkWDZ0,2021-11-17,-0.9966899156570436,2876.0,Sakshi,388.0,6.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fb1OdRIGBko,2021-11-17,-0.999416708946228,3755.0,Sakshi,348.0,29.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
rb94gNXeuIU,2021-12-06,-0.5817207098007202,10245.0,Sakshi,420.0,16.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8OcFQpU8Qf4,2021-12-08,0.9978245496749878,7608.0,Sakshi,178.0,26.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zW16ZQH9ugk,2021-12-30,0.9860448837280272,9369.0,Sakshi,143.0,57.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZZHZOgfLmkg,2022-01-31,0.9937491416931152,19578.0,Sakshi,71.0,45.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmgIYapx6aI,2022-02-03,-0.995180606842041,10992.0,Sakshi,298.0,74.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
x3x3p5LRUg8,2022-02-22,0.992602288722992,9027.0,Sakshi,269.0,11.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ihsSN-PzrhU,2022-03-03,-0.9902196526527404,65782.0,Sakshi,285.0,420.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZR-DZryDTGc,2022-03-14,-0.9983503818511964,22811.0,Sakshi,68.0,62.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zDLWR6tFkWg,2022-03-14,-0.9970811009407043,2394.0,Sakshi,259.0,4.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0
-1HcMNerXpg,2022-03-15,-0.9993952512741088,6254.0,Sakshi,267.0,16.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
qKZdASBj7bc,2022-03-16,-0.9880152344703674,4098.0,Sakshi,192.0,3.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tab7f7t6QMg,2022-03-17,0.994526207447052,4146.0,Sakshi,515.0,23.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-E5dMB1H9A,2022-03-19,0.9925776124000548,3378.0,Sakshi,190.0,7.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
xIIdQT2YDhQ,2022-03-30,0.987780213356018,113493.0,Sakshi,125.0,62.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ZrNYBj09NDE,2022-03-30,-0.9946710467338562,7152.0,Sakshi,275.0,12.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nJ_So7XTiMs,2022-04-11,-0.9983901977539062,2986903.0,Sakshi,60.0,0.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5WAvOhwxTU4,2022-04-11,0.993951976299286,21346.0,Sakshi,310.0,21.0,cheepurupali.png,Botsa  Satyanarayana,YSRCP,Cheepurupalli,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
