ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,ambati rambabu,ap employees,ap assembly session today,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
vmqt4DDTDHk,2022-09-27,0.9904239773750304,1378.0,TV5,440.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rVh7bmIokcs,2022-10-10,-0.9950496554374696,3183.0,Sakshi,149.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
mBxLKzjhxHY,2022-10-13,-0.9994621872901917,2495.0,ABN,312.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-jGBT3QQjOY,2022-10-18,-0.9982654452323914,2133.0,ABN,250.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slysrTPKIzg,2022-10-18,0.9918164610862732,3768.0,TV5,90.0,10.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9V4AiVQd0vo,2022-10-20,-0.9968358874320984,821.0,ABN,195.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zk8SoFnR3kI,2022-10-20,-0.9992979764938354,1628.0,TV5,205.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
qpiis20UX2s,2022-10-21,-0.9987381100654602,1778.0,TV5,295.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1
ZGmugWZGTAk,2022-10-21,-0.9934294819831848,2725.0,TV5,215.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sMyPvO3HpcA,2022-10-21,-0.9984644651412964,2431.0,TV5,196.0,9.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
frutLqD_Vp4,2022-10-25,-0.9974355101585388,1439.0,TV5,245.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gYcuahHLr5c,2022-10-29,-0.999242663383484,2763.0,TV5,310.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
TVbvJgx1zxo,2022-10-29,-0.9970122575759888,8183.0,TV5,131.0,7.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
exO0k2SCjvE,2022-10-31,-0.9879671931266784,3544.0,TV5,367.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
