ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap assembly session today,alliance,visakha
-QBF1lbN958,2022-11-02,-0.9847612380981444,2089.0,Sakshi,278.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,1,1,1,0,0,0,0,0,0
wCZO_n-PnzA,2022-11-08,0.9919483661651612,1043.0,ABN,575.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
LD8nUtuW238,2022-11-09,-0.995296061038971,4972.0,TV5,210.0,5.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,0,1,1,1,0,0,0,0,1,0,0
jnZddEEmoX8,2022-11-09,0.9981533885002136,3923.0,Sakshi,292.0,13.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,1,1,1,1,1,0,0,0,0,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,1,0,0,0,0,0,0,0,0
WQCLl9v8FcE,2022-11-15,0.9910596013069152,2361.0,Sakshi,186.0,11.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,1,1,1,1,0,0,0,0,0,0
qC5zjYI6WbQ,2022-11-19,-0.998683512210846,2574.0,TV9,278.0,4.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
nqdZ-4GFccc,2022-11-28,-0.999169945716858,3306.0,TV5,317.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,1,0,0,0,0,1,0,0,0,0
BlNPIcufZmI,2022-11-28,-0.9747817516326904,819.0,TV9,231.0,6.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,0,0,0,0,0,0,0,0,0,0,0
fkcP5LMeUHE,2022-11-28,-0.9936483502388,104766.0,Sakshi,536.0,239.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,1,0,0,0,0,0,0
_ycoiBn2woQ,2022-11-29,0.9823864698410034,520.0,ABN,325.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,1,0,0,0,0,0,1,0,0,1,1
L3K5lC3gw_w,2022-12-02,0.8888369202613831,404.0,Sakshi,200.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,1,1,0,0,0,0,0,0,0
