ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,Kethireddy Venkatarami Reddy,tadipatri
2pVboMEi8-4,2022-09-24,0.9949513673782348,1002.0,Sakshi,362.0,1.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_V1xOOg_sbw,2022-10-04,0.9900813698768616,1981.0,Sakshi,351.0,4.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHHYZW6fPRo,2022-10-09,0.9949918389320374,1588.0,TV5,380.0,9.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1zl2xSmoB9M,2022-10-10,0.9509682655334472,12653.0,Sakshi,392.0,56.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
v_Cb3U2gDs8,2022-10-12,-0.9924666285514832,897.0,Sakshi,593.0,3.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
k6I4DXWSzTg,2022-10-12,-0.9988003969192504,1704.0,TV5,145.0,3.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
oQwYMig_HYs,2022-10-13,0.9853459596633912,32283.0,TV5,538.0,34.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mBxLKzjhxHY,2022-10-13,-0.9994621872901917,2495.0,ABN,312.0,5.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uxpb0ARUlcI,2022-10-14,0.9945129156112672,39601.0,Sakshi,452.0,52.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To_tEuZRLAo,2022-10-19,0.9483582377433776,106493.0,TV5,305.0,52.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
