ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
SWcYpXl-cSc,2022-09-26,-0.993000864982605,2467.0,TV5,216.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0
fvHi0ma3mTQ,2022-09-27,-0.9973204731941224,2206.0,TV5,263.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VXxCGrblEtc,2022-09-29,-0.9987990856170654,57314.0,TV5,220.0,112.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
kpHQ6cpQl8o,2022-10-01,-0.99522602558136,3444.0,TV5,374.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
VJZ4_9a5h6E,2022-10-04,-0.997928500175476,2257.0,TV5,275.0,12.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
weoD1jxlzOA,2022-10-06,0.9916388392448424,730.0,TV5,289.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tpcyP9A_i90,2022-10-06,0.9960033297538756,750.0,TV5,411.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rEBY8ZOQBgE,2022-10-12,-0.995043158531189,1511.0,TV5,280.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FQxysMDievw,2022-10-12,-0.998779833316803,3522.0,ABN,185.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gQkYI3KcilU,2022-10-12,0.9962199330329896,778.0,TV5,435.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IUcmQRmg2RM,2022-10-14,-0.997767448425293,675.0,TV5,320.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
v_fd5e_kXDM,2022-10-14,-0.966456413269043,756.0,TV5,205.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0Qvh9frXTx0,2022-10-15,-0.9935257434844972,2445.0,ABN,460.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrxjPmBiq9U,2022-10-17,0.9888182282447816,4862.0,TV5,370.0,7.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tJgoNImAszU,2022-10-19,-0.9968728423118592,2344.0,TV5,138.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
xjYL0lZpdw0,2022-10-21,-0.9986542463302612,28776.0,ABN,480.0,59.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_ZPSRiRyBhM,2022-10-21,0.9902799725532532,3791.0,ABN,550.0,7.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAF8JJCG2Xk,2022-10-24,-0.9975820779800416,6332.0,TV5,330.0,10.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0
TtlPrghLgIE,2022-10-25,0.9939197301864624,2531.0,TV5,355.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmlHpHXElmo,2022-10-25,-0.998103141784668,853.0,TV5,385.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_2n1nUAAao,2022-10-25,0.9953657388687134,7929.0,ABN,216.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xunY6SyMcOc,2022-10-25,0.9982181191444396,1603.0,TV5,220.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am_vF92XSFM,2022-10-26,0.989088535308838,1511.0,TV5,365.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KTEtGfGuETY,2022-10-26,0.9969544410705566,742.0,TV5,276.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
z_VaUq30ALc,2022-10-27,-0.9833891987800598,8810.0,ABN,395.0,10.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeRbXhANkFo,2022-10-28,0.995741605758667,47923.0,TV5,360.0,137.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
w4N5FhgTQXE,2022-10-29,-0.9984484910964966,3042.0,TV5,326.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dVoHF9nAZwM,2022-10-29,0.9982447624206544,3323.0,Sakshi,116.0,7.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
noOVAU3gOWQ,2022-11-01,-0.999077320098877,1127.0,TV5,300.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sk_3t2lx0NY,2022-11-01,0.9943141341209412,57565.0,TV5,365.0,165.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
x1d7yNCnwMs,2022-11-07,0.9971551895141602,2426.0,TV5,208.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vHw1ua9QZC0,2022-11-08,0.9863476753234864,25707.0,TV5,340.0,52.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
6c-Lv8GGD3M,2022-11-08,-0.902017056941986,9313.0,TV5,295.0,20.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
T2D1DjHr5P4,2022-11-10,0.9926182627677916,27166.0,TV5,340.0,56.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ESJciIBTqYI,2022-11-10,0.9889244437217712,1667.0,ABN,250.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x4R1DyimGrc,2022-11-10,-0.99378502368927,346.0,ABN,97.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
