ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,chandrababu,suprem court
Kl716JI5prc,2021-10-23,-0.9994192123413086,11875.0,Sakshi,393.0,60.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,1
CjH9qxWu0ag,2021-10-28,-0.995141625404358,9261.0,Sakshi,288.0,36.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
0vFi0ctpoXE,2021-12-10,0.9973892569541932,3861.0,Sakshi,574.0,7.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,0,0
_OY0BG2-dfA,2021-12-10,-0.9994237422943116,2960.0,Sakshi,251.0,2.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
o_xoQEynBVw,2021-12-10,-0.9968923926353456,1824.0,Sakshi,254.0,12.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
GHsXNdpzquk,2021-12-27,0.9951632022857666,7621.0,Sakshi,157.0,39.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,1,1
ze9mquPEzkk,2022-02-05,0.9983910322189332,20758.0,Sakshi,262.0,63.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
31ITM7pYJnA,2022-04-01,0.993171215057373,23835.0,Sakshi,348.0,19.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,1,0
Damsg_GFgyY,2022-05-17,0.995335042476654,189190.0,Sakshi,445.0,422.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
vl5wyponECM,2022-06-01,0.9981125593185424,5598.0,Sakshi,250.0,7.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,1,0,0
LKRw2Iilszo,2022-09-20,0.9937545657157898,1650.0,TV5,530.0,3.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
S3762F3GrlQ,2022-09-20,-0.9928023219108582,1073.0,TV5,580.0,3.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,1,0,0,0
ZSJlhskD-Hc,2022-09-27,0.988989531993866,2035.0,Sakshi,115.0,0.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,1,0,0
-jGBT3QQjOY,2022-10-18,-0.9982654452323914,2133.0,ABN,250.0,5.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
AGizgYef9gk,2022-11-18,-0.9985817670822144,20305.0,ABN,425.0,12.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,0
372k-V2NiW4,2022-11-18,-0.994881272315979,4092.0,ABN,245.0,11.0,chitoor_l.png,Nallakonda Gari Reddeppa,YSRCP,Chittoor_sc,0,0,0,1
