ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,janasena party,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,jogi ramesh ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Jayaho BC,nellore mekapati,maa nammakam nuvve jagan,nandigama
QzcCIhqsIdQ,2022-03-05,-0.9989134073257446,3421.0,Sakshi,358.0,18.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
EYbx0I37x6Y,2022-03-05,-0.9985112547874452,20534.0,Sakshi,191.0,131.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
MBe63BVWjfo,2022-03-05,-0.9911288022994996,11209.0,Sakshi,351.0,58.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XXsis_ShDvM,2022-03-05,-0.9977854490280152,2818.0,Sakshi,216.0,24.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
h837nn5f_D8,2022-03-14,-0.997952938079834,4449.0,Sakshi,130.0,8.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
uF-g4YLlDuo,2022-03-15,0.668643057346344,2845.0,Sakshi,157.0,6.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDwtIZ-NHTM,2022-03-21,0.988994300365448,2188.0,Sakshi,196.0,1.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rHXVA23fDKc,2022-03-21,-0.9934784173965454,836.0,Sakshi,153.0,1.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
FmPhm1EtRAQ,2022-03-23,-0.9990856647491456,15434.0,Sakshi,291.0,21.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
vBEHscg7SH8,2022-03-24,-0.9937627911567688,1715.0,Sakshi,157.0,4.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
