ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,high court,alliance,yuvashakti,suprem court,ap development,tadipatri,High Court
uYoeIQuAaBc,2022-10-26,-0.9973503351211548,4049.0,Sakshi,78.0,14.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srhT1CaD5Zc,2022-10-28,0.9815966486930848,2275.0,TV5,410.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rt7LR_z23zw,2022-11-01,-0.9747388958930968,48783.0,Sakshi,343.0,114.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
hAESTLofD3c,2022-11-02,-0.9986988306045532,1518.0,TV5,293.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
C5sJi5LlXpQ,2022-11-02,-0.9901942610740662,2460.0,ABN,266.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ehMyKlVqNQ8,2022-11-03,-0.9940847754478456,2934.0,ABN,481.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PC_vqgwiGw,2022-11-05,-0.9974575638771056,1901.0,ABN,495.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dCILcbpdCOg,2022-11-08,0.9685819149017334,49462.0,Sakshi,267.0,68.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
beTvecFw-TE,2022-11-10,0.9971364736557008,19695.0,Sakshi,594.0,49.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
K1XvyG0UOWQ,2022-11-10,0.998095691204071,27307.0,TV5,305.0,34.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
vQOdPot-Jig,2022-11-10,0.9948822259902954,3143.0,Sakshi,313.0,5.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
GSVZkAMRGjs,2022-11-12,-0.998073935508728,735.0,TV5,93.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tOG0e3pvBYw,2022-11-12,-0.9986577033996582,811.0,TV5,157.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PYrcpILzOyc,2022-11-13,-0.9889012575149536,11732.0,TV5,299.0,17.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JXMBESwmOC0,2022-11-18,-0.9957818984985352,2274.0,TV9,85.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ILfcaWjN3Sg,2022-11-18,-0.997802436351776,1320.0,TV9,124.0,5.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayr7de4RSk,2022-11-19,-0.9924435019493104,3219.0,TV9,115.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
hvlhHF6gfVg,2022-11-19,-0.9967644214630128,1515.0,TV9,148.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
wXpe_wvamxM,2022-11-19,0.7840493321418762,1988.0,TV9,114.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
VQtZXSFsIcQ,2022-11-19,-0.998450517654419,4226.0,TV9,266.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
