ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
WFW5rnVjo9A,2019-12-22,0.9984124898910522,1164.0,Sakshi,175.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DdmZGCsKHNg,2019-12-26,0.9985826015472412,2283.0,Sakshi,268.0,19.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsR_2lKbc4s,2019-12-26,0.9970225691795348,37023.0,Sakshi,431.0,40.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
OdeCSChY8FQ,2021-09-02,0.9987336993217468,1707.0,Sakshi,90.0,5.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPAvMsdiiSU,2021-10-25,-0.9994662404060364,1046.0,Sakshi,280.0,2.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HcHtsQJbgMg,2021-11-13,0.9975628852844238,7789.0,Sakshi,168.0,6.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
u8PUrSXVnjQ,2021-12-13,0.9981147050857544,8835.0,Sakshi,244.0,71.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Wbwf5XVgCeo,2021-12-13,-0.9958141446113586,15357.0,Sakshi,253.0,124.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
9GUvanDijss,2021-12-22,-0.9978804588317872,5842.0,Sakshi,185.0,15.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
zW16ZQH9ugk,2021-12-30,0.9860448837280272,9369.0,Sakshi,143.0,57.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
449nGu0cSnk,2021-12-31,0.9979569911956788,7604.0,Sakshi,99.0,6.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5QBOMxWSSDc,2022-01-04,0.99683678150177,4310.0,Sakshi,519.0,7.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUGwpV7Zvzg,2022-01-14,0.996942698955536,28547.0,Sakshi,519.0,82.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dDKR8dTKidY,2022-02-14,-0.9861568212509156,22774.0,Sakshi,269.0,109.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yEDxFtgjVdE,2022-02-19,-0.9984134435653688,26895.0,Sakshi,217.0,98.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CqguDMU_LCU,2022-03-07,-0.9979382157325744,127391.0,Sakshi,104.0,385.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KIC0zRSKD-A,2022-03-08,0.9978379607200624,130950.0,Sakshi,128.0,59.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
