ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,yuvashakti,suprem court,ap development
rOjwRMrm6kY,2022-11-10,0.9929624199867249,16588.0,ABN,365.0,30.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
GRvfLI0WpWU,2022-11-10,0.9956307411193848,2875.0,ABN,365.0,1.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,1,1,1,0,0,0,1,1,1,0
R-X8jnehdBE,2022-11-10,0.9926295280456544,3378.0,ABN,485.0,6.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
D0lSJWwrVoQ,2022-11-10,0.9986903071403505,39037.0,ABN,515.0,54.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
lDxowX8QEak,2022-11-10,-0.9985105395317078,30828.0,ABN,515.0,24.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
dVejiUS5j5o,2022-11-11,-0.9991371035575868,2512.0,ABN,597.0,4.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
ctujj4pYtuY,2022-11-14,-0.9965906143188475,45563.0,TV5,475.0,167.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,0,0,0,0,0,0,0,0,0,0,0
MMQdEiRLSHg,2022-11-21,-0.9992157220840454,25196.0,TV9,271.0,135.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,1,0
SKKLyyGSuT4,2022-11-21,-0.9917280673980712,37088.0,TV9,300.0,82.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,0,1,1,0,0,0,0
YSW_b6bwdws,2022-11-21,-0.9991917014122008,7364.0,TV9,234.0,17.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,1,0,1,0,0,0,0,0,0
f_6WBl2hRK4,2022-11-21,-0.994090497493744,1684.0,TV9,182.0,5.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,1,1,0,0,0,1,0,0,0,0,0,1
i69kDiKO5ME,2022-11-21,0.9936004877090454,87148.0,TV9,227.0,176.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,1,0,1,0,1,0,0,0,0,0
WMjmhPYkMlU,2022-12-02,-0.9984446167945862,3432.0,ABN,594.0,1.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ufais36VHiI,2022-12-02,-0.996475636959076,1537.0,ABN,496.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
D4b08vwIY4Y,2022-12-02,-0.9973888993263244,450.0,ABN,473.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
NAFkSinfguA,2022-12-03,-0.9985402822494508,1373.0,ABN,567.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
1ChehdSfCnM,2022-12-15,0.98285174369812,8427.0,TV9,267.0,12.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,0,1,0,1,0,0,0,1
ucwzW4b6hHE,2022-12-15,-0.997991681098938,29861.0,TV9,260.0,32.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,0,1,0,1,0,0,0,1
OplqXgm1J68,2022-12-15,0.9831374883651732,9159.0,TV9,278.0,12.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,0,1,0,0,0,0,0,0
fJ2MUvA7lww,2022-12-16,-0.9985588192939758,14908.0,TV9,314.0,46.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,1,1,0,0,1,0,1,1,1,1,1
FOg7Jtm9hCQ,2022-12-16,0.9975947737693788,19620.0,TV9,341.0,53.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
t4VXrfrVod0,2022-12-16,-0.997747242450714,42450.0,TV9,283.0,81.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,1,0,1
