ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,yuvagalam,yuvashakti,tadepalli,suprem court,ap development,tadipatri
imQenRy7LcE,2023-01-21,-0.9978272318840028,7244.0,Sakshi,148.0,37.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,1,1,1,1,1,1,1,1,1
y4w0NhUk8EQ,2023-01-21,-0.9988207221031188,2895.0,Sakshi,154.0,15.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,1,0,0,0,0,0,0,0
vdN8m-xwywc,2023-01-25,-0.9940425753593444,782.0,TV9,101.0,0.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
yFAw2Wb9FzI,2023-01-27,-0.9979761242866516,81752.0,ABN,575.0,46.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
uzFHLbU_UYM,2023-01-27,-0.9970685839653016,3736.0,ABN,335.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
Ljl9pXbi5Qs,2023-01-27,-0.998158037662506,112441.0,ABN,330.0,81.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
VoDgfbhM6qc,2023-01-27,0.992901623249054,19869.0,ABN,450.0,19.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
Iaqyonn2tBo,2023-01-27,0.998324453830719,21248.0,ABN,220.0,13.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
hnAfpDVSRmE,2023-01-27,-0.9904890060424804,2457.0,ABN,470.0,9.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
VaE-bkMmyYI,2023-01-27,-0.616478681564331,23139.0,ABN,340.0,27.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,1,1,1,0,1,1,0,1,0,1
