ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,yuvashakti,suprem court,ap development
R7YqoOPUvK4,2022-10-27,0.9981223940849304,860.0,Sakshi,294.0,4.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,0,1,0,0,0,1
pAjSHBA8Fhs,2022-10-27,-0.9985602498054504,420.0,Sakshi,124.0,2.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,1,1,0,0,0,1,1,0
4wLUr5L1BPg,2022-10-29,-0.99442058801651,2425.0,Sakshi,287.0,6.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,1,0,0,0,0
ovhpyYbeRUk,2022-11-08,0.9973050355911256,1246.0,Sakshi,247.0,4.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,1
tkb1W73y-F8,2022-11-09,0.9963424801826476,1659.0,Sakshi,494.0,2.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
T3aYK7qUa-A,2022-11-11,0.997295081615448,2002.0,Sakshi,341.0,6.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,1,0,0,0,0,0
RIHXcgGPgFk,2022-11-18,0.9970357418060304,574.0,Sakshi,290.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,1,1,0,0,0,0,0
7EfFckT5gas,2022-11-20,-0.9964784979820251,8709.0,TV5,185.0,6.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,1,0,0,0,0,0,0,0
ZJSVoCrvYJg,2022-12-01,0.9984412789344788,3608.0,Sakshi,432.0,4.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
EnFnh_JWj9Q,2022-12-11,-0.99904865026474,50803.0,TV9,48.0,76.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
3XztmuS2J1Q,2022-12-11,0.9964302182197572,11845.0,TV5,69.0,19.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,1,0,0,1,0,0,0,0
vgV250bVkl4,2022-12-29,0.9980781078338624,4447.0,Sakshi,211.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,1,1,0,0,0
SUP4AOkaeF0,2023-01-02,-0.9907429814338684,35733.0,ABN,485.0,84.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
jmjrC6q4ZhU,2023-01-02,-0.9986238479614258,3284.0,ABN,335.0,7.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
cTYxEAkyUgc,2023-01-06,-0.9985218644142152,31328.0,ABN,305.0,47.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,0,0,0,0,0,0,1,0
kPxedgkagD4,2023-01-06,-0.9927577972412108,166164.0,TV5,485.0,117.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
fD4k90JvHAY,2023-01-09,0.9987741112709044,5994.0,Sakshi,352.0,16.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,0,0,0,1,1
kohcaai9V34,2023-01-10,0.9955233335494996,28168.0,Sakshi,558.0,65.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,0,0,0,1,0,0,0,0
CTww-DaxR34,2023-01-12,0.9988803267478944,2525.0,Sakshi,162.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
AxRxoYr0EIg,2023-01-21,0.994542956352234,1193.0,Sakshi,500.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,1,0,0,0,0
mlIOWp8E0-8,2023-01-22,-0.9929344654083252,2925.0,Sakshi,329.0,3.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,0,0,1,0,0,0,0,0
q-SBsQpIrfA,2023-01-23,-0.8781517744064331,2678.0,TV9,163.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
lBE81m-TGsw,2023-01-23,-0.9892149567604064,2860.0,Sakshi,270.0,17.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,0,0,0,0,1,0,0,0
KjZL-HaHHpU,2023-01-23,0.9984148740768432,24466.0,TV5,246.0,37.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,0,0,0,0,1,1,0,0
t4D3h9uajIY,2023-01-23,-0.8243867754936218,13451.0,Sakshi,540.0,43.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,1,0,0,0
XMhoUW5sviE,2023-01-25,-0.9819130897521972,563.0,TV9,131.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
0IWKhiSKAto,2023-01-27,-0.9961129426956176,3213.0,Sakshi,157.0,31.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,1,1,1,0,1,1,1,1,0
ecvF8tb0xtg,2023-01-27,0.9973709583282472,5282.0,Sakshi,508.0,18.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,1,0,0,1,1,0,0,0
Xd0MlxIWO2w,2023-01-28,-0.9989105463027954,25519.0,Sakshi,171.0,91.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
xiBXcHGTraw,2023-01-28,-0.9951080679893494,20899.0,Sakshi,171.0,77.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,0,0,0,0,0,0,0,1
pd0tBLO3O_I,2023-02-01,0.9984048008918762,658.0,TV9,268.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
rnaMGyM8G54,2023-02-02,0.9928053021430968,4211.0,TV5,460.0,22.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,0,0,0,0,0,0
Qvo9aj_AdoU,2023-02-06,0.9971599578857422,3957.0,TV9,247.0,7.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
q8lARzewKZw,2023-02-08,-0.998254120349884,3887.0,Sakshi,500.0,5.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,1,1,0,1,0,1,1
etU2MPviwqE,2023-02-09,-0.9912846088409424,3510.0,TV5,277.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,0,0,0,0,0
4ZthpdwGRkw,2023-02-10,-0.9841132760047911,60836.0,Sakshi,333.0,32.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,1,1,1,1,1,1,1,1,1
LRR8CAiJng8,2023-02-21,-0.9653965830802916,544.0,ABN,263.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,1,0,1
jtnUZLprQhM,2023-02-23,-0.9984209537506104,891.0,TV9,200.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
CkZHnxtE5IY,2023-03-09,0.9979445338249208,2071.0,Sakshi,278.0,17.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,0,0,1,1,1,0,0,0
uzG5SZQqw0I,2023-03-13,-0.9981867671012878,2400.0,TV5,331.0,6.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,1,1,0,0,1,0,0,0,0
iTviHMdKVII,2023-03-14,0.9975797533988952,1567.0,Sakshi,152.0,2.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,0,0,0,0,0
u_YrOOYLN5s,2023-03-18,-0.9839249849319458,1068.0,Sakshi,333.0,11.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,1,1,1,0,0,0,0
y0kSY48V51U,2023-03-24,-0.9835383296012878,2237.0,TV9,206.0,7.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,0,0,0,0,0,0,0,0,0
kY9JpCqZF3E,2023-03-28,0.9956486821174622,6187.0,Sakshi,69.0,13.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,1,1,1,1,0,0
FRHi8yO7Bq8,2023-03-28,-0.9967932105064392,2866.0,TV5,104.0,3.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,1,0,0,0,0,0,0,1,0
-3fP486p0Kw,2023-04-07,0.99616938829422,14267.0,Sakshi,142.0,16.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
ZPb9WLFdRtM,2023-04-15,-0.9954611659049988,2867.0,Sakshi,344.0,3.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,1,1,0,0,0,0
