ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
lLjrA5bByXw,2022-08-28,-0.9992446899414062,18632.0,TV5,200.0,18.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kmh_id8JcVw,2022-09-01,-0.9978895783424376,8798.0,TV5,262.0,18.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
YpWImu4Qc6E,2022-09-01,-0.9932047128677368,3866.0,TV5,430.0,9.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2gTzgCLmF8,2022-09-04,-0.99699604511261,7846.0,TV5,320.0,16.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
dJxjIPqJepo,2022-09-04,0.980028510093689,3310.0,TV5,125.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
V0ROSRi7Iy8,2022-09-10,0.982382595539093,1813.0,Sakshi,394.0,10.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0RKQCbayi_s,2022-09-12,0.9863200783729552,786.0,TV5,141.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
I4YNiwiejuw,2022-09-20,-0.9966936111450196,10396.0,TV5,334.0,11.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwpIbwc-qcA,2022-09-23,-0.9979255199432372,4929.0,TV5,305.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
wvgLmgrTTxY,2022-09-24,0.9899740219116212,1567.0,Sakshi,591.0,18.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
VXxCGrblEtc,2022-09-29,-0.9987990856170654,57314.0,TV5,220.0,112.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5s2gNJNx2No,2022-09-29,-0.9992635846138,8102.0,TV5,450.0,20.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UczXnHRV1Bw,2022-10-01,0.9979664087295532,3297.0,Sakshi,417.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
