ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
ZdUxiG123DU,2020-03-10,0.9908011555671692,23125.0,Sakshi,39.0,8.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GgbIfSizB-U,2020-03-12,0.9966253042221068,169443.0,Sakshi,379.0,226.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Nm72MmHXAs,2020-03-12,0.9946832060813904,517.0,Sakshi,237.0,2.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
cbz3jfZecNQ,2021-02-15,0.9981093406677246,847.0,Sakshi,134.0,0.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
mjKoeiNPMmY,2021-02-17,0.991859257221222,4760.0,Sakshi,228.0,1.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0
0iDBqdaFroM,2021-08-09,-0.996269464492798,1837.0,Sakshi,213.0,15.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gwimat41bTk,2021-09-06,0.9961573481559752,2752.0,Sakshi,167.0,27.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QPLuQuf955U,2021-09-22,0.9987632036209106,1295.0,Sakshi,257.0,3.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
JmWO4bqIJB8,2021-09-25,0.9939215183258056,4451.0,Sakshi,339.0,1.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_HetlMTkHyg,2021-09-28,0.9956521391868592,4268.0,Sakshi,539.0,6.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n3RyFUPdOUA,2021-10-25,-0.9974155426025392,1752.0,Sakshi,299.0,1.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGNLKYftIQw,2021-10-25,-0.9500142931938172,981.0,Sakshi,194.0,10.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r3y1xBeXd78,2021-10-27,-0.9983017444610596,228634.0,Sakshi,435.0,327.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64ZNE6-HL60,2021-11-11,-0.9964966177940368,5529.0,Sakshi,239.0,8.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6sKqtN-pfM,2021-11-11,0.9965534210205078,4743.0,Sakshi,208.0,4.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bw7aozXxRHM,2021-11-13,-0.9776320457458496,77723.0,Sakshi,341.0,141.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UUZZoLWw44A,2021-11-13,0.9986822009086608,157302.0,Sakshi,94.0,224.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rchoHAw6pz4,2021-11-15,0.9985713958740234,86819.0,Sakshi,321.0,134.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bBwI00v1Ytc,2021-11-16,0.9985652565956116,2587.0,Sakshi,274.0,15.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L0aQc84DTJM,2021-11-17,0.9985668063163756,22183.0,Sakshi,411.0,26.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xB7qB6y7i0w,2021-11-26,0.9938262104988098,11618.0,Sakshi,264.0,11.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blaQaR2QUGY,2021-11-26,0.9826114773750304,11608.0,Sakshi,169.0,27.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ierg_wH4yr4,2021-11-30,0.99712735414505,3776.0,Sakshi,258.0,17.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
BeHGl9_UAXo,2021-12-05,0.998587727546692,1870.0,Sakshi,235.0,0.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j5ZjA7HFTmk,2021-12-06,-0.9982132911682128,20951.0,Sakshi,559.0,60.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dPR2WbIDxFw,2021-12-22,0.987467885017395,144476.0,Sakshi,263.0,48.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5MdgDubfdQ,2021-12-30,0.99511981010437,1626.0,Sakshi,579.0,10.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5QBOMxWSSDc,2022-01-04,0.99683678150177,4310.0,Sakshi,519.0,7.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sabSPXa28i8,2022-01-08,-0.9504429697990416,3851.0,Sakshi,329.0,15.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lPw0ksnthv0,2022-01-17,0.9963839054107666,7215.0,Sakshi,259.0,12.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PKsFpV4Q3So,2022-01-21,-0.9970056414604188,162372.0,Sakshi,217.0,535.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jtkXhAuxUJA,2022-02-03,-0.9971006512641908,14388.0,Sakshi,494.0,137.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xLWlvvI5_vM,2022-02-05,0.9962711334228516,10532.0,Sakshi,295.0,19.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTtlqxd-cBk,2022-02-15,0.9801424741744996,68240.0,Sakshi,285.0,92.0,kurnool.png,Abdul Hafeez Khan,YSRCP,Kurnool,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
