ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,varahi ,nandigama
ZhKDPce_13w,2022-08-09,0.9977014660835266,5879.0,Sakshi,312.0,9.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KwiXl_uGzJo,2022-08-23,0.9916058778762816,6185.0,Sakshi,379.0,17.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR751n-NCRM,2022-08-25,0.9903838634490968,826.0,TV5,210.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lNrL7C5GVwg,2022-08-27,-0.999052107334137,4962.0,TV5,305.0,9.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
KnnfeRHM2tA,2022-09-01,0.9930658340454102,36296.0,Sakshi,521.0,78.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaFPjp0UvCE,2022-09-03,-0.997008979320526,10603.0,TV5,247.0,4.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
zWOYEQV4t4A,2022-09-10,-0.9880500435829164,47407.0,Sakshi,341.0,240.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N_u2VWRNnTY,2022-09-12,-0.9966400861740112,1661.0,TV5,185.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
bfANwhN563I,2022-09-12,0.992780864238739,42955.0,Sakshi,516.0,160.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JtrNtt9-RZ0,2022-09-12,-0.9960384368896484,1610.0,Sakshi,498.0,3.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rOfyP8JGaU0,2022-09-15,0.9938084483146667,1404.0,Sakshi,531.0,6.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOlk3oi9JDk,2022-09-27,0.9930041432380676,9832.0,TV5,496.0,5.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WsVrD4CP_BE,2022-09-27,-0.9940690994262696,2887.0,TV5,472.0,3.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKd1QxyKrvA,2022-10-03,0.9981467723846436,1731.0,Sakshi,264.0,6.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
I0psfsrv03s,2022-10-04,0.9879587888717652,1829.0,TV5,436.0,2.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-nNzPISThY,2022-10-05,0.9985781908035278,4037.0,Sakshi,523.0,11.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBFORdLiYdM,2022-10-10,-0.9931796789169312,119492.0,Sakshi,430.0,193.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kphowog59t8,2022-10-24,0.996644914150238,740.0,ABN,128.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
J1VrznoHGgM,2022-10-28,0.998842179775238,7588.0,Sakshi,206.0,31.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4wLUr5L1BPg,2022-10-29,-0.99442058801651,2425.0,Sakshi,287.0,6.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBeQAfCo7Ig,2022-10-30,-0.9990209341049194,2482.0,TV5,290.0,7.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4nv4YVWOhzQ,2022-10-30,-0.9973624348640442,1068.0,TV5,105.0,6.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hyjq2wYrdl0,2022-11-03,-0.9994803071022034,108683.0,ABN,455.0,286.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56UVHwpSAQI,2022-11-05,-0.997425377368927,1432.0,TV5,231.0,1.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
QExWjZW9CVM,2022-11-18,-0.9968222379684448,408.0,TV9,111.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
URHc47PmO6I,2022-11-20,-0.9942949414253236,2325.0,TV9,531.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sY9wU6vm1ss,2022-11-23,-0.99947589635849,1463.0,ABN,330.0,4.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ysnGSqIK5Wk,2022-11-23,-0.9981185793876648,474.0,TV9,135.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UHNB1JcmtKg,2022-11-25,0.996102213859558,449.0,TV9,192.0,1.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aHTRksTAUNU,2022-11-26,-0.9994864463806152,501.0,ABN,320.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
zikZGr4-S9M,2022-11-28,-0.9827286601066588,668.0,Sakshi,496.0,1.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AguQtm2cur0,2022-11-28,0.9924694895744324,5316.0,Sakshi,489.0,9.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU6DAmno9kI,2022-11-29,-0.974157989025116,655.0,TV9,110.0,0.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hioWuNMCHZA,2022-11-29,-0.994142472743988,2071.0,TV9,88.0,1.0,kurnool_l.png,Sanjeev Kuma,YSRCP,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
