ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,ap assembly session today,yuvashakti,tadepalli,Buggana Rajendranath,suprem court,ap development,tadipatri
hc1xVL_ZcCc,2019-06-30,-0.985834777355194,2734.0,Sakshi,293.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
tfJRcxuLwt8,2019-07-01,0.9949446320533752,5905.0,Sakshi,184.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
pgWW89GHwIg,2021-08-31,0.9984275102615356,6059.0,Sakshi,93.0,9.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
VLS09YGLZKA,2022-03-10,0.9952511787414552,63617.0,Sakshi,457.0,158.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
vpc2m57msRM,2022-03-10,-0.9976786971092224,102436.0,Sakshi,57.0,93.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
oIWqrfB2Q94,2022-03-10,0.9887577891349792,17230.0,Sakshi,142.0,21.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
0V_s9CeGOHc,2022-03-11,0.9955571293830872,9661.0,Sakshi,87.0,22.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
hGDPgiVlC-Y,2022-03-11,-0.9933239817619324,16683.0,Sakshi,152.0,29.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
4cwYkcgcTbs,2022-03-14,-0.992106318473816,3763.0,Sakshi,274.0,7.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
cmW5u1ZWxtk,2022-03-14,-0.9994398951530457,8694.0,Sakshi,81.0,6.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0
