ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,panchayat elections,janasena party,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,Dadisetti Raja,ap development,tadipatri,nandigama
EDG69ryHsWQ,2022-06-11,-0.9984424710273744,1426.0,Sakshi,243.0,6.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4pLmgovDjbU,2022-07-10,0.9862492680549622,588256.0,Sakshi,559.0,870.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XOSZLh9p1V4,2022-07-15,0.9975577592849731,3387.0,Sakshi,264.0,3.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
pjd7ZGve0ro,2022-07-29,-0.9984311461448668,50192.0,Sakshi,180.0,63.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ivfvnaNdL9Q,2022-08-03,0.991978645324707,81623.0,Sakshi,514.0,94.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fy1oLlfPbQU,2022-08-16,0.9925947785377502,6329.0,Sakshi,445.0,40.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lg-8TIPjtJ4,2022-09-10,0.9898170232772828,4470.0,Sakshi,485.0,10.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iRWB4W7H-fw,2022-09-12,-0.9972834587097168,3538.0,Sakshi,149.0,20.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1QzWbEkQHSQ,2022-09-13,-0.9906635284423828,17143.0,TV5,292.0,9.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eV8jKEwj2vc,2022-09-15,-0.9963030815124512,4865.0,TV5,180.0,6.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
gbx8nI2o5Jk,2022-09-20,0.9931288957595824,15195.0,TV5,260.0,21.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z90up9Qbxyc,2022-09-21,-0.9923933744430542,2664.0,TV5,120.0,4.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dop3OWETLTE,2022-09-21,0.989017128944397,8018.0,TV5,491.0,17.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_r5j1TFCOI,2022-09-23,-0.9973577857017516,1372.0,TV5,467.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeCoiplHyrc,2022-09-28,-0.7784550786018372,8117.0,Sakshi,147.0,21.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
SE5TIM50GV0,2022-10-01,0.9984402060508728,6974.0,Sakshi,242.0,13.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
AllD2U4DzJU,2022-10-02,0.9979986548423768,2813.0,Sakshi,248.0,12.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
RIVj8RrNIfQ,2022-10-03,0.9971489310264589,547.0,TV5,285.0,2.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FesG9ASoRPg,2022-10-04,0.998422384262085,237659.0,TV5,430.0,426.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vXV35-0zKpg,2022-10-04,-0.9975547194480896,20762.0,TV5,109.0,48.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1
JCbEdubwiFE,2022-10-08,0.9727538228034972,22829.0,TV5,329.0,53.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1
2orKKaohYzc,2022-10-09,-0.996112048625946,4814.0,TV5,410.0,13.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHHYZW6fPRo,2022-10-09,0.9949918389320374,1588.0,TV5,380.0,9.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cJfeamQBgss,2022-10-10,-0.9972779154777528,9308.0,TV5,360.0,12.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1zl2xSmoB9M,2022-10-10,0.9509682655334472,12653.0,Sakshi,392.0,56.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5oTKLm4-Gu8,2022-10-12,-0.97026526927948,901.0,ABN,361.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr8ih1XEwQQ,2022-10-14,-0.9729015231132508,612.0,ABN,128.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_9GNZGzX-I,2022-10-18,-0.9982689619064332,1352.0,Sakshi,251.0,6.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
Go2kezoCslU,2022-10-18,0.9933949112892152,16875.0,Sakshi,391.0,186.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TITpyoPbyE8,2022-10-18,-0.9970768690109252,1694.0,Sakshi,365.0,15.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Guz7LH-o4JY,2022-10-19,0.9948681592941284,1480.0,ABN,290.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jlXfjqajzmk,2022-10-20,-0.9941967725753784,1274.0,ABN,83.0,8.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
QcgoZQtuONA,2022-10-20,-0.9966955184936525,2458.0,ABN,179.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euERH84osf8,2022-10-20,0.9885444045066832,1785.0,ABN,202.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2K49vYeO8sI,2022-10-20,-0.9979243278503418,24821.0,ABN,311.0,89.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BqIFbS6k56o,2022-10-20,-0.9945032596588136,1001.0,ABN,357.0,3.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lHgz9deeCmw,2022-10-20,-0.9979432225227356,1476.0,ABN,256.0,3.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0
PuCWJJXNiAw,2022-10-21,-0.998001992702484,1508.0,ABN,567.0,4.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89SIWB85BBA,2022-10-22,0.9938430786132812,1086.0,ABN,266.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAeCdOxw4JY,2022-10-22,-0.8730795979499817,2231.0,ABN,274.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aIrl6RjM4O0,2022-10-22,-0.9989455342292786,6438.0,ABN,101.0,6.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
6tI77jPbL8Y,2022-10-25,-0.9933711290359496,749.0,ABN,256.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hO4F31AAYS8,2022-10-26,-0.9978969097137452,2145.0,ABN,200.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sAxG8nuWIz0,2022-10-26,0.9810181856155396,1596.0,ABN,161.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a2F55sbQX8,2022-10-26,-0.9937734007835388,20588.0,ABN,322.0,13.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_QBy0SLCnQ,2022-10-26,-0.998860239982605,343.0,ABN,39.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba18re559Ng,2022-10-27,-0.9978188276290894,342.0,ABN,467.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Uh2ckf441Xo,2022-10-28,-0.9979574680328368,2381.0,TV5,292.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
OlTwJgzVOTk,2022-10-28,-0.9983034133911132,196562.0,TV5,455.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0o01ygB8FqY,2022-10-29,-0.9965807795524596,3399.0,ABN,484.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pg6dn-s8VYA,2022-10-29,-0.9962171912193298,2549.0,ABN,232.0,0.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kJNFwAwE0F8,2022-10-29,-0.9980195760726928,1381.0,ABN,101.0,1.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3xuWAYghSIw,2022-10-29,-0.9971586465835572,580.0,ABN,257.0,2.0,tuni.png,Dadisetti Ramalingeswara Rao,YSRCP,Tuni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
