ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,tdp pattabhi,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,ap development,tadipatri,varahi ,nellore mekapati,nandigama
rcsiTrg9d4g,2022-02-20,-0.9994491934776306,86783.0,Sakshi,370.0,184.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
yrx3POVhIVU,2022-03-10,0.9951289892196656,5371.0,Sakshi,383.0,25.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uovFTirP00c,2022-03-13,0.9979026317596436,5135.0,Sakshi,125.0,26.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
LggIZbM7rp4,2022-03-15,0.9986825585365297,19187.0,Sakshi,289.0,38.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0
6udeeBSon9c,2022-03-15,0.9985846281051636,1368.0,Sakshi,273.0,0.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
dElQfjwfRGw,2022-03-15,0.9987794756889344,1468.0,Sakshi,228.0,0.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
V_ikIweMjv8,2022-03-16,0.994805872440338,2728.0,Sakshi,195.0,1.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QShnsvy9JrM,2022-03-18,0.9946101903915404,10029.0,Sakshi,548.0,37.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekn17_HYqbc,2022-03-21,0.9985711574554444,715.0,Sakshi,267.0,0.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aa5GUYzdMPI,2022-03-22,0.9943389296531676,4539.0,Sakshi,219.0,5.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
xHXjP8AfYvE,2022-03-24,0.998056709766388,3573.0,Sakshi,94.0,0.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
