ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,byreddy siddharth reddy,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Kodali Nani 
Gr4bQHuHIoY,2023-02-04,-0.9983283877372742,2528.0,TV9,264.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
kroH3ykJWak,2023-02-04,0.9920175075531006,2973.0,TV9,261.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
z0HGUk507QI,2023-02-04,0.9917536973953248,1184.0,TV9,151.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
RhAUjPQz3w8,2023-02-04,-0.9902003407478333,2327.0,TV9,308.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0
WXFcKVhGDjI,2023-02-04,-0.9969173669815063,2017.0,TV9,262.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
I_X4acWqJGM,2023-02-04,0.990312933921814,3311.0,TV9,264.0,10.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
xsp-NSorhXM,2023-02-04,0.988834798336029,211452.0,Sakshi,553.0,420.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OCWI9F3wLWo,2023-02-04,0.5664181709289551,4333.0,TV9,243.0,5.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
RwZtAQV01to,2023-02-04,-0.8472604751586914,5431.0,TV9,423.0,14.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
iEjINLEZgko,2023-02-04,-0.9884953498840332,1556.0,TV9,262.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MA7fu8Ao60I,2023-02-04,-0.9565007090568542,8272.0,TV9,386.0,15.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
zIsmd6BBgFk,2023-02-05,-0.992300510406494,10988.0,TV9,222.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
GhjvdcS1hBQ,2023-02-08,-0.9969283938407898,8414.0,TV9,141.0,10.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11a-LmLPouA,2023-02-10,-0.9973899722099304,20992.0,TV9,71.0,25.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0mXKeNbizoA,2023-02-12,-0.980113923549652,14497.0,TV9,394.0,19.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
uY7jqPJPMT0,2023-02-13,-0.9934660792350768,928.0,TV5,430.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sx-mEtnC2wA,2023-02-17,0.992833971977234,1355.0,TV9,311.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HsEHjdxF6wc,2023-02-18,-0.9966142773628236,2424.0,TV5,269.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tuiHttyPDjY,2023-02-21,-0.9844890832901,745.0,TV9,282.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
g_GQCbtlXiQ,2023-03-08,-0.998685657978058,772.0,TV9,158.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hmovHI4zJfQ,2023-03-10,-0.9923978447914124,2860.0,TV5,290.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eHYgFar67sc,2023-03-10,-0.998918890953064,3020.0,TV9,219.0,5.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9uHFiKTKuXc,2023-03-11,0.9919169545173644,2829.0,Sakshi,325.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Oewjje_bFh8,2023-03-13,-0.9986728429794312,11785.0,Sakshi,131.0,66.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
whQoYUY3joU,2023-03-13,0.9914803504943848,1040.0,TV9,352.0,5.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87W2x_1OrKY,2023-03-18,-0.995198667049408,2958.0,TV9,219.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W4h4yEGWICI,2023-03-24,-0.9990678429603576,3597.0,TV5,265.0,8.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Nw44pmvj8PQ,2023-03-29,0.9961405396461488,4586.0,TV9,283.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ja9X2g1AzCc,2023-04-04,0.9923535585403442,10380.0,Sakshi,196.0,18.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NKlCHxXfp3I,2023-04-07,-0.999293088912964,4506.0,Sakshi,219.0,15.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
60aaQHKAnLw,2023-04-08,0.9984853863716124,5411.0,Sakshi,352.0,14.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fRhNbvN-NlI,2023-04-10,-0.9976909160614014,1308.0,TV9,93.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNaf7lFM2W8,2023-04-13,-0.998603880405426,8569.0,Sakshi,268.0,40.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
