ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
1rikEnYlQWk,2022-01-31,-0.9964264035224916,7059.0,Sakshi,224.0,16.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkRgvb2ZbsA,2022-02-22,-0.9113429188728333,8588.0,Sakshi,102.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
G4uX9AHBYoU,2022-03-08,-0.9919353723526,797133.0,Sakshi,244.0,349.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
OsEZP4PMzI8,2022-04-02,0.998336374759674,12695.0,Sakshi,123.0,11.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cAd5qVDssi8,2022-04-14,0.9978256821632384,68346.0,Sakshi,238.0,157.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1
0bPxQ38hBmw,2022-04-14,0.9988009929656982,87599.0,Sakshi,312.0,91.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TxHILocuzPs,2022-05-09,0.9837579131126404,20743.0,Sakshi,396.0,97.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
TyfXsDNu9Pg,2022-05-09,0.9972994923591614,17036.0,Sakshi,276.0,60.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0
JBFr9xrIlHU,2022-05-28,0.9981574416160583,6501.0,Sakshi,369.0,19.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_9I8QA2qr8,2022-05-28,-0.990443766117096,191150.0,Sakshi,245.0,316.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
