ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap assembly session today,alliance,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,balineni srinivasa reddy,tadipatri
to_w722mZOM,2022-10-10,-0.9968756437301636,6198.0,TV5,162.0,19.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a7fLv0_Pgc,2022-10-20,-0.9928359389305116,14975.0,TV5,125.0,18.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zk8SoFnR3kI,2022-10-20,-0.9992979764938354,1628.0,TV5,205.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
iTMNi3Fwd10,2022-11-04,-0.997183084487915,104222.0,TV5,340.0,87.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
f9m9XSzn7Xs,2022-11-05,0.948492705821991,672.0,ABN,507.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lOjkTrEAZPU,2022-11-08,0.9978694915771484,1513.0,Sakshi,240.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
KWPEYYJ9ExE,2022-11-17,-0.9396201372146606,384.0,ABN,82.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jizM7krWf9U,2022-11-19,-0.9675230979919434,8730.0,TV9,250.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
kumGdleB724,2022-11-28,0.9887397885322572,23215.0,Sakshi,561.0,75.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GlB1fozvCrw,2022-12-02,-0.9978014826774596,11346.0,TV9,297.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ChGWNJCV2Cg,2022-12-07,-0.9813950657844543,9106.0,TV9,219.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2Ih7i-hoUdA,2022-12-09,0.982504427433014,979.0,TV9,318.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
r2OWITvEUJE,2022-12-12,-0.9922035932540894,107919.0,TV5,498.0,53.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Y7I_5e-qt00,2022-12-17,-0.9975298047065736,2844.0,ABN,165.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EZ6szBqQEwo,2023-01-05,-0.9938386082649232,19544.0,TV9,104.0,15.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E7X6KDtCSfc,2023-01-21,0.9956672191619872,54544.0,TV9,215.0,48.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
EaupHj74p50,2023-01-22,0.9980358481407166,5825.0,TV9,416.0,8.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1
DRBr90v14Os,2023-01-22,0.9928746223449708,7501.0,TV9,227.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M9_8Ri0IT1w,2023-01-31,0.9899834394454956,3172.0,TV9,259.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZWkldQHqytA,2023-01-31,-0.9946703314781188,55219.0,Sakshi,290.0,124.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
6cn1Rl7IzPI,2023-01-31,-0.9975876808166504,4129.0,TV9,163.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6CRHwj8uV-s,2023-01-31,0.9961243271827698,165828.0,TV9,243.0,103.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
nDILOQdxlHg,2023-01-31,0.9860134720802308,11704.0,TV5,131.0,19.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MnOae0xnlqo,2023-02-01,-0.9987175464630128,13870.0,Sakshi,131.0,11.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
mjGhFOmfz3o,2023-02-01,-0.9958025813102722,64458.0,Sakshi,520.0,136.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
P5DdCsX6Noc,2023-02-01,-0.9981476068496704,16496.0,TV9,321.0,19.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1gyZDHE1fxk,2023-02-01,0.9949618577957152,97416.0,TV9,318.0,67.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A3t33ridw9c,2023-02-01,0.9958719611167908,1637.0,TV9,499.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9hvUPowgDVY,2023-02-01,-0.988336980342865,10749.0,TV9,257.0,9.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
MHEX3Qxim2Q,2023-02-01,0.9988049268722534,6357.0,Sakshi,272.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
rCNxQt6ponI,2023-02-01,0.9328526258468628,17925.0,Sakshi,244.0,46.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1
77M8k1DRxE8,2023-02-01,0.9941483736038208,16346.0,TV9,268.0,11.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
HCA9LQ0mc8c,2023-02-02,0.98814195394516,127024.0,Sakshi,330.0,252.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
DbsQ154NUfk,2023-02-02,-0.9990262985229492,18109.0,TV9,220.0,34.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
s-jT4u0O4S4,2023-02-02,-0.9949504137039183,3506.0,TV9,365.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
G_W8xn4VBG0,2023-02-02,-0.9937884211540222,983.0,ABN,148.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
d1EvgpiHhTs,2023-02-03,-0.9871103763580322,34037.0,TV9,253.0,34.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
