ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap assembly session today,alliance,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,balineni srinivasa reddy,tadipatri
Z4_jOx8oqkg,2023-02-26,0.9988387227058412,1096.0,TV9,309.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fbYsY61AVDs,2023-03-01,0.8826290369033813,1321.0,TV9,75.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PbnkUETcghY,2023-03-05,0.9988717436790466,1398.0,TV9,153.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
d67uu8BHzv0,2023-03-05,0.9941279888153076,2190.0,TV9,81.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn7laisl8c,2023-03-10,0.9976186156272888,3248.0,Sakshi,287.0,10.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
ujp7kqU0AkE,2023-03-13,-0.997954487800598,17306.0,Sakshi,61.0,57.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
hjT5zPuujtQ,2023-03-14,-0.9929614663124084,8206.0,Sakshi,190.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fcYXLIgfTtI,2023-03-15,-0.9994470477104188,478.0,TV9,262.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
b9CABVC1acc,2023-03-15,0.9953370094299316,564.0,TV9,281.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYTW0xsMFKk,2023-03-16,-0.9980968832969666,3372.0,TV9,229.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
azYk1uWiKqI,2023-03-19,0.9897217154502868,57760.0,Sakshi,155.0,118.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
gUrAq3XYrFQ,2023-03-22,-0.9976275563240052,2891.0,ABN,198.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsXWtiRZ38o,2023-03-24,0.9962910413742064,1878.0,TV9,226.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
37097lx0syo,2023-03-24,0.9892577528953552,1285.0,TV9,280.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1YHF8aE74Og,2023-04-02,-0.998589813709259,56851.0,TV9,39.0,56.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AsSqDs8BHOs,2023-04-02,-0.9985467791557312,2751.0,TV9,39.0,13.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dpe0rgG84pQ,2023-04-06,-0.9854448437690736,4230.0,TV9,335.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q4qZyrgwEfM,2023-04-13,-0.9983617663383484,121888.0,TV9,29.0,95.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-YjFwBP24zg,2023-04-14,0.9849085807800292,4055.0,Sakshi,169.0,7.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nJZotF0Zfj8,2023-04-14,-0.9911070466041564,96502.0,ABN,188.0,23.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
