ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
-5ygnavO0cc,2021-02-20,0.9988514184951782,6706.0,Sakshi,38.0,5.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s5vvVtuiHdU,2021-02-20,-0.9962766766548156,138427.0,Sakshi,421.0,67.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l1mdqGNJIs4,2021-02-21,0.9948534369468688,4138.0,Sakshi,482.0,8.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKq-gTj3sEo,2021-03-01,0.9984764456748962,3022.0,Sakshi,525.0,3.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K1yD_Xb79l8,2021-08-19,-0.9922539591789246,2996.0,Sakshi,309.0,24.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jNfhccjUnbI,2021-09-04,0.9918672442436218,1354.0,Sakshi,352.0,3.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1g17DmsNfNM,2021-09-30,-0.9968936443328856,13511.0,Sakshi,65.0,37.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vK8Whd07NrE,2021-10-26,-0.9979801774024964,734.0,Sakshi,523.0,0.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2cmTSdT31jM,2021-10-26,-0.9975600242614746,663.0,Sakshi,546.0,2.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
