ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,ap assembly session today,alliance,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
N-nNzPISThY,2022-10-05,0.9985781908035278,4037.0,Sakshi,523.0,11.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
R7YqoOPUvK4,2022-10-27,0.9981223940849304,860.0,Sakshi,294.0,4.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
YebthG_jiB0,2022-11-20,-0.9974815249443054,18079.0,TV5,385.0,34.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
MMQdEiRLSHg,2022-11-21,-0.9992157220840454,25196.0,TV9,271.0,135.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SKKLyyGSuT4,2022-11-21,-0.9917280673980712,37088.0,TV9,300.0,82.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YSW_b6bwdws,2022-11-21,-0.9991917014122008,7364.0,TV9,234.0,17.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
nzgveej06aw,2022-11-21,0.9983283877372742,1425.0,TV5,348.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
nxmOumH0j_M,2022-12-05,-0.99714332818985,1922.0,TV9,224.0,3.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SdmHX9M_XuI,2022-12-07,-0.9878331422805786,4422.0,Sakshi,230.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
dRUZYM47ecE,2022-12-08,0.9975923895835876,2306.0,TV9,269.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
HtSDy3FYESg,2022-12-11,-0.995912492275238,5288.0,TV9,253.0,4.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgfudHrLIuA,2022-12-17,-0.9965659976005554,2679.0,TV9,258.0,5.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1
T12NdA3vuAA,2022-12-17,-0.9984543323516846,6491.0,TV9,251.0,15.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wBdrbXaP_dU,2022-12-20,-0.9981949925422668,40026.0,TV9,406.0,50.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTTDi2ueYuo,2022-12-26,0.9898579716682434,2163.0,TV9,271.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vgV250bVkl4,2022-12-29,0.9980781078338624,4447.0,Sakshi,211.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
CwBsOJlrXrE,2022-12-31,0.9740842580795288,1168.0,TV9,75.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZVNdq5p7BZk,2023-01-01,0.988817811012268,3167.0,TV5,387.0,9.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PnMyU3AnZfY,2023-01-02,-0.9966607093811036,970.0,TV9,255.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1
KajumxZBc9U,2023-01-02,-0.9948174357414246,1331.0,ABN,553.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e1AX3KIpfM,2023-01-05,0.9939215183258056,627.0,TV9,386.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oSqpvwWacR4,2023-01-07,0.9986209869384766,1570.0,TV9,258.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kohcaai9V34,2023-01-10,0.9955233335494996,28168.0,Sakshi,558.0,65.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wB1nd-_MC7M,2023-01-12,-0.9948116540908812,756.0,Sakshi,166.0,3.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CTww-DaxR34,2023-01-12,0.9988803267478944,2525.0,Sakshi,162.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upb_z5GYIOY,2023-01-21,-0.999483585357666,298.0,ABN,70.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
qZUJo4HrdMQ,2023-01-24,-0.9971940517425536,4137.0,TV9,300.0,7.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
-JJiaZsWdPA,2023-01-25,-0.9991331696510316,5551.0,TV9,209.0,3.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANmxC9cDIvM,2023-01-26,0.9884123206138612,1467.0,TV9,332.0,8.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPkf1sl6LWI,2023-01-26,0.9959593415260316,1221.0,TV5,435.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJfyp05Je7o,2023-01-29,0.996614634990692,1202.0,Sakshi,118.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0
kA72ZARC8Pw,2023-01-31,-0.9926778078079224,1250.0,TV9,425.0,3.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rSHa0Ipixqc,2023-02-01,0.9979887008666992,1952.0,Sakshi,413.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7L1Krw4Fe08,2023-02-02,-0.9937877655029296,11215.0,TV9,141.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knmt2HuRwTE,2023-02-04,0.9920471906661988,6432.0,TV9,227.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6aoOx8yVZs,2023-02-13,0.9984341263771056,289.0,TV9,263.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HrQmdK-tuGU,2023-02-13,0.9961865544319152,280.0,TV9,277.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
