ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,ap assembly session today,Atchannaidu,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy, vidadala ,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
8RBOtsxN_y0,2021-11-16,0.9892444610595704,13614.0,Sakshi,447.0,23.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IZj7cND56Rg,2021-12-01,-0.9967535138130188,216351.0,Sakshi,267.0,565.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ik99RSVoqBI,2021-12-09,-0.9855836629867554,80935.0,Sakshi,324.0,110.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
sG30Dmu0PjA,2021-12-11,-0.9906094074249268,29206.0,Sakshi,252.0,79.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
sTk9eLSNrNE,2021-12-11,-0.9974446296691896,3991.0,Sakshi,401.0,13.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yfrHRWHH0WE,2021-12-11,-0.9940993785858154,2759.0,Sakshi,341.0,7.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k0Y-B1s5MaI,2021-12-11,-0.9983516931533812,12596.0,Sakshi,397.0,23.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X8N45aDIEIY,2021-12-18,-0.9984726309776306,5217.0,Sakshi,289.0,45.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OhJkfRtjx6Y,2021-12-30,-0.992892861366272,19569.0,Sakshi,331.0,78.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rldx3mqk1-g,2021-12-31,-0.9937627911567688,5346.0,Sakshi,282.0,9.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
