ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,janasena party,tdp pattabhi,ap employees,ap assembly session today,jr ntr,high court,alliance,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
dvoo6ju2Zv8,2019-12-21,0.983485460281372,734.0,Sakshi,244.0,3.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
pVnkxzZKMSc,2020-03-05,-0.9926539659500122,1547.0,Sakshi,402.0,0.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smJ62sISCwE,2021-02-20,0.9968172311782836,4172.0,Sakshi,79.0,10.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CJdAVR4RS9g,2021-02-20,0.9964678287506104,5925.0,Sakshi,230.0,4.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bw7aozXxRHM,2021-11-13,-0.9776320457458496,77723.0,Sakshi,341.0,141.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
-IsW14niq94,2021-12-31,0.9926607608795166,2341.0,Sakshi,365.0,5.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-rPKzSEoiac,2022-03-08,0.9976414442062378,4201.0,Sakshi,573.0,9.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XkNJZ8NJ7-A,2022-03-15,0.9941492080688475,5998.0,Sakshi,424.0,8.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHd_9ENfIpM,2022-06-23,-0.9815906286239624,18392.0,Sakshi,532.0,42.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
rMNndjUYOro,2022-08-22,-0.9938177466392516,5999.0,TV5,345.0,3.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ocyq6K_AjX8,2022-08-22,-0.9977147579193116,257606.0,TV5,320.0,262.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0
U_S-s3y0DWo,2022-08-22,0.9747999906539916,43331.0,TV5,460.0,122.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ERAShDqfBVk,2022-08-22,0.9822100400924684,3208.0,TV5,270.0,5.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wrlCj5-nV0M,2022-08-25,-0.9922577738761902,72887.0,TV5,375.0,150.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0eIFj1tAfGc,2022-08-26,0.8412237763404846,1611.0,TV5,350.0,1.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHvqLVATZWQ,2022-08-30,0.9915463328361512,34935.0,TV5,420.0,38.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bBe04TRsP0U,2022-08-30,-0.9966374635696412,20128.0,TV5,195.0,36.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qSRKOHSaF_4,2022-08-30,0.9886974096298218,8435.0,TV5,290.0,8.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btfpxe9ZL5A,2022-08-30,-0.9968711733818054,73925.0,TV5,490.0,115.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdfPmGgASrk,2022-09-01,-0.9961183071136476,2354.0,TV5,485.0,4.0,krishna.png,ch krishna Anjaneyulu,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
