ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
A_3kSDlTFfY,2023-03-26,0.9842793345451356,5726.0,ABN,359.0,2.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
O9u4z3cLHTs,2023-03-30,-0.9978781938552856,8644.0,Sakshi,245.0,9.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
PqZqrRw29cQ,2023-03-30,-0.9943258166313172,1212.0,TV9,355.0,1.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8FJy41_GXoE,2023-04-01,0.9964249730110168,14849.0,TV5,348.0,6.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
kXoLRlAJL6k,2023-04-05,-0.9992786049842834,1504.0,TV9,299.0,10.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbc4gbTLqRQ,2023-04-05,-0.9983641505241394,1514.0,TV9,301.0,3.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FcZnoDsCu_U,2023-04-05,-0.9938568472862244,92971.0,Sakshi,162.0,40.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
0R5eNWYEM7M,2023-04-07,-0.9869799613952636,1408.0,TV9,213.0,1.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I_2h09SGA4E,2023-04-17,-0.9931825995445251,892.0,Sakshi,281.0,12.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShlzoxXkxpc,2023-04-17,-0.99459570646286,18590.0,Sakshi,189.0,177.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1
