ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,Atchannaidu,alliance,Peddireddy ,polavaram,visakha,roja,nellore ,srikakulam,yuvashakti,ram gopal varma,tadepalli,suprem court,ap development,tadipatri,varahi ,nandigama
nq0093qgvak,2021-02-18,0.9979453682899476,1508.0,Sakshi,182.0,2.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0
tDJt274z3w0,2021-09-08,0.9812459945678712,2295.0,Sakshi,155.0,12.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gt8-Uw1sAKY,2021-09-27,-0.9993070363998412,17353.0,Sakshi,344.0,72.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkdP0XK1RR0,2021-10-05,-0.9985322952270508,1643.0,Sakshi,81.0,8.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-y2QUoq8Acg,2021-10-05,-0.993069589138031,5543.0,Sakshi,77.0,19.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G6tFpwxVgWc,2021-10-05,-0.996183454990387,6394.0,Sakshi,175.0,17.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDmVeQt5AFg,2021-10-23,-0.996278703212738,2551.0,Sakshi,221.0,11.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
XcK1zgXjMoU,2021-11-06,0.998512327671051,13514.0,Sakshi,78.0,20.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UIvFUMyS57w,2021-11-15,-0.9967862367630004,2563.0,Sakshi,485.0,14.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wdvUjPh5Nk0,2021-11-16,0.9966095685958862,7141.0,Sakshi,267.0,23.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26bsU5o3ErQ,2021-11-16,0.9936255216598512,17845.0,Sakshi,475.0,91.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xCeZnj-YZv0,2021-11-26,-0.98127543926239,4189.0,Sakshi,433.0,12.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uXiUtM4Y2q0,2021-12-15,-0.9992997646331788,38554.0,Sakshi,205.0,112.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
uXh7IQr0PoQ,2021-12-23,0.9973934888839722,122366.0,Sakshi,498.0,112.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbgMC-9IoNs,2022-01-12,0.9969512224197388,18497.0,Sakshi,109.0,28.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4rGAusTR1Ew,2022-02-02,-0.9980323910713196,9067.0,Sakshi,547.0,108.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VYCWaf0Fk00,2022-02-12,0.9965984225273132,2578.0,Sakshi,248.0,9.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JRPeEdr7BBc,2022-02-23,0.994271755218506,7950.0,Sakshi,590.0,41.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sCq9HUNXviA,2022-03-05,-0.9578039646148682,28362.0,Sakshi,533.0,108.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R6XYG6b9KKY,2022-03-09,0.9979215264320374,1340.0,Sakshi,428.0,2.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qKZdASBj7bc,2022-03-16,-0.9880152344703674,4098.0,Sakshi,192.0,3.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ikh7-FSz6xc,2022-03-22,0.9970065951347352,4579.0,Sakshi,160.0,9.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AKRiThJ5U7w,2022-03-24,-0.997706174850464,2262.0,Sakshi,113.0,2.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1MDdmOPfkcA,2022-04-04,0.9986799359321594,31369.0,Sakshi,227.0,25.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
JHmHqWOIMSE,2022-04-09,0.9917497038841248,12646.0,Sakshi,247.0,12.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eFNDVxN67z8,2022-04-11,0.9965257048606871,1330088.0,Sakshi,281.0,0.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
LeNrYyY1y8s,2022-04-21,0.9977065324783324,34377.0,Sakshi,113.0,42.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HFV3KT6ED0Q,2022-04-22,0.9984114170074464,24882.0,Sakshi,466.0,237.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yCEgwp8bvpM,2022-05-07,-0.999368131160736,70108.0,Sakshi,225.0,261.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRQF7zdKhlA,2022-05-07,-0.994038224220276,6539.0,Sakshi,115.0,38.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n2Yynydf1H8,2022-05-17,0.9975357055664062,4011.0,Sakshi,199.0,18.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cAGNWcKEsk8,2022-05-17,0.9946668148040771,5492.0,Sakshi,224.0,14.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
-CUyWTCKGMw,2022-05-31,0.9852504730224608,12255.0,Sakshi,317.0,24.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USU7jTwy4BE,2022-06-19,-0.984667181968689,5360.0,Sakshi,322.0,25.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba2Segs5Wh8,2022-06-30,0.9965092539787292,3666.0,Sakshi,127.0,6.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_P2h-SQEi0,2022-07-02,-0.9956746697425842,79695.0,Sakshi,444.0,216.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dT8a6lWthRs,2022-07-21,0.9950503706932068,3765.0,Sakshi,560.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBsIVcdi9xo,2022-07-30,0.9985902905464172,9958.0,Sakshi,347.0,8.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F60IiYaThN4,2022-08-02,0.9954826831817628,22211.0,Sakshi,329.0,53.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bqbis4kMfUs,2022-08-02,0.9919156432151794,2983.0,Sakshi,277.0,9.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
siGBLoDtKZ0,2022-08-05,0.9955682158470154,3771.0,Sakshi,111.0,26.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ldY102yVBSg,2022-08-22,-0.9980416297912598,2322.0,TV5,295.0,0.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IBlyls4jLJs,2022-08-25,-0.9993282556533812,48231.0,TV5,125.0,92.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fz8x4d5eE-w,2022-08-28,-0.9985082745552064,2346.0,TV5,251.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BShGPW_dzY8,2022-09-02,-0.9966793060302734,26190.0,TV5,240.0,31.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zZLFwQ2VepY,2022-09-03,0.9954954385757446,11847.0,Sakshi,468.0,21.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y5wvUb2AL-8,2022-09-03,-0.8998745679855347,1069.0,TV5,197.0,0.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abvdowohj80,2022-09-06,-0.9995056390762328,1905.0,TV5,522.0,5.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l6P3Jnc0jn4,2022-09-07,-0.9967846870422364,16763.0,TV5,132.0,23.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
PH3hDbUloaY,2022-09-07,0.99869042634964,17026.0,Sakshi,238.0,11.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
z8TdE0Ui06M,2022-09-08,-0.996945321559906,2350.0,TV5,282.0,3.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
rOfyP8JGaU0,2022-09-15,0.9938084483146667,1404.0,Sakshi,531.0,6.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bzc6YuyACuI,2022-09-16,-0.997766613960266,2674.0,TV5,165.0,2.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
gh0c8h9tXps,2022-09-17,-0.9971237778663636,8198.0,TV5,335.0,16.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46F3nC6g7nQ,2022-09-17,0.9933400750160216,8395.0,Sakshi,539.0,29.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AalvKAVHSCM,2022-09-21,0.9978450536727904,2092.0,Sakshi,90.0,11.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
c8eppLCYfiE,2022-09-21,0.5995887517929077,2336.0,Sakshi,502.0,19.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEqnX9XtH8c,2022-09-23,-0.9994423985481262,1726.0,TV5,144.0,4.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hA2kbYRENf8,2022-09-23,0.9982885718345642,1474.0,Sakshi,181.0,3.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2pVboMEi8-4,2022-09-24,0.9949513673782348,1002.0,Sakshi,362.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
j7OG9GxsiyQ,2022-09-25,-0.973308265209198,2031.0,TV5,270.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PJ92cOqdBhA,2022-09-26,0.9958381652832032,198119.0,TV5,380.0,354.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARx5oySIU2U,2022-09-27,-0.995935082435608,814.0,TV5,255.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1d9F7PGJ-NU,2022-09-28,-0.9926344752311708,2444.0,TV5,234.0,1.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
QQWdkaKArSY,2022-09-28,0.9834938049316406,9688.0,Sakshi,307.0,35.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oerKf4REr5w,2022-09-29,0.996236264705658,169467.0,Sakshi,120.0,138.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c048AytAls8,2022-09-30,0.988658845424652,19678.0,Sakshi,529.0,88.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lwrg09oLtik,2022-10-02,-0.9976059198379515,1315.0,TV5,285.0,2.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X7BMiYMAgbM,2022-10-02,0.9988490343093872,166.0,TV5,39.0,0.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AvROo_W-tuY,2022-10-02,0.99860018491745,5817.0,TV5,58.0,10.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brCI-EEjBUY,2022-10-05,-0.998450517654419,278540.0,TV5,165.0,151.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hqrCpWl1CWc,2022-10-05,-0.99400132894516,19178.0,TV5,200.0,17.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOMpVJB58AM,2022-10-05,-0.990565299987793,46288.0,TV5,200.0,41.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xsCefEhzL5o,2022-10-06,-0.9908705353736876,5441.0,Sakshi,218.0,35.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e96ixxuY04k,2022-10-10,-0.9901390075683594,3521.0,Sakshi,444.0,11.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QJNp7-30LRY,2022-10-10,0.997703492641449,2221.0,Sakshi,167.0,3.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4XNBhbtxu14,2022-10-10,0.9969521760940552,1801.0,Sakshi,310.0,3.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
apDHeh5jKec,2022-10-12,-0.9902475476264954,105598.0,ABN,265.0,57.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
J8E1K7UpIcc,2022-10-12,-0.9980291724205016,47382.0,ABN,415.0,46.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Mx8Io0NYqg,2022-10-12,-0.9976289868354796,493573.0,Sakshi,260.0,509.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWzQS5ShpbU,2022-10-12,-0.9965865612030028,776.0,ABN,328.0,0.0,tirupati_l.png,Balli Durga Prasad Rao,YSRCP,Tirupati_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
