ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,ap development,tadipatri
aVooQ00G3VU,2022-08-19,-0.9967483282089232,44739.0,Sakshi,473.0,84.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3imO0xsGTFE,2022-08-23,0.9958283305168152,24009.0,Sakshi,283.0,41.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Kt09gyWtohE,2022-08-28,-0.9975080490112304,919.0,TV5,355.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m15hknPd7vE,2022-09-01,0.992373526096344,524.0,TV5,114.0,7.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
cMLsbMbTbw0,2022-09-02,0.9807841777801514,583.0,TV5,256.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aqGm0OOeK6U,2022-09-06,-0.9984520673751832,902.0,TV5,309.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YjvylHKbC5Q,2022-09-14,-0.9990915060043336,2563.0,TV5,125.0,9.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
k_1dTevh_U4,2022-09-17,0.996981918811798,85252.0,TV5,375.0,95.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LdbxkRfK1aw,2022-09-21,-0.9984381794929504,995.0,TV5,559.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRuvL2_Fe60,2022-09-22,-0.999413251876831,7728.0,TV5,255.0,25.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GzfK5Aq42nw,2022-09-23,-0.9975407123565674,10333.0,TV5,320.0,19.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
IY2dM62YChA,2022-09-29,-0.9945295453071594,3112.0,TV5,525.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dBSfrPHsBWE,2022-09-29,-0.9949843883514404,3287.0,TV5,270.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QkC_IKFaBW8,2022-10-05,0.9984795451164246,2274.0,Sakshi,478.0,5.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1h4JExH99qM,2022-10-07,-0.9989985823631288,2747.0,TV5,250.0,3.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fru2cztfTdA,2022-10-11,-0.9988238215446472,4942.0,TV5,150.0,3.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1
fJCvAkxYLQY,2022-10-11,-0.998281478881836,2938.0,TV5,115.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
lHiQ4E76-MA,2022-10-11,0.9835823774337769,5799.0,TV5,225.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1
MyXmSjU3CCI,2022-10-12,-0.996426522731781,4057.0,TV5,295.0,8.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DADPVvkj478,2022-10-13,-0.9992965459823608,21029.0,TV5,148.0,42.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
PKDTLunVLUQ,2022-10-13,-0.993432641029358,3568.0,TV5,160.0,61.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_Qh-W4lLoNs,2022-10-14,0.9977678060531616,2642.0,TV5,215.0,3.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
g4mCQV-ZMHM,2022-10-15,0.9972891807556152,704.0,ABN,238.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbcqgV5xqro,2022-10-15,-0.9967827796936036,2536.0,ABN,223.0,9.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
tRmPDoZ84as,2022-10-15,0.9942325949668884,3360.0,Sakshi,371.0,6.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Pr6_3KlbvBA,2022-10-17,0.9983409643173218,59083.0,Sakshi,421.0,152.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
