ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
KYnSCsFQjNE,2021-10-23,-0.9973769187927246,365047.0,Sakshi,393.0,287.0,durgesh.png,Kandula Durgesh,JSP,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHsXNdpzquk,2021-12-27,0.9951632022857666,7621.0,Sakshi,157.0,39.0,durgesh.png,Kandula Durgesh,JSP,,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hSS2tUaku4Q,2022-02-17,0.9932726621627808,70806.0,Sakshi,379.0,27.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CQ6meSBHexw,2022-03-12,0.9988119602203368,1864.0,Sakshi,144.0,2.0,durgesh.png,Kandula Durgesh,JSP,,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
yvG2QS-vNso,2022-04-14,0.9980097413063048,49487.0,Sakshi,150.0,23.0,durgesh.png,Kandula Durgesh,JSP,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
yZe3ozJp91E,2022-05-05,-0.9994935989379884,95998.0,Sakshi,167.0,312.0,durgesh.png,Kandula Durgesh,JSP,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uS_oS9h_tAI,2022-08-19,-0.9988940358161926,5522.0,Sakshi,360.0,25.0,durgesh.png,Kandula Durgesh,JSP,,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
U4eXIpNg5ws,2022-08-24,-0.9355143308639526,2716.0,Sakshi,250.0,10.0,durgesh.png,Kandula Durgesh,JSP,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zIPxw946gg0,2022-08-25,-0.993504524230957,44190.0,TV5,394.0,36.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fz8x4d5eE-w,2022-08-28,-0.9985082745552064,2346.0,TV5,251.0,1.0,durgesh.png,Kandula Durgesh,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HmLYijabKzM,2022-09-12,-0.98343026638031,1884.0,Sakshi,170.0,1.0,durgesh.png,Kandula Durgesh,JSP,,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
rOfyP8JGaU0,2022-09-15,0.9938084483146667,1404.0,Sakshi,531.0,6.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QiltsN0TmQ8,2022-09-17,0.9980022311210632,20527.0,TV5,587.0,28.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fq4YO1z7S6A,2022-09-21,-0.9924329519271852,5205.0,TV5,240.0,36.0,durgesh.png,Kandula Durgesh,JSP,,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
oJAn71lH9i8,2022-09-27,-0.9960712194442748,678.0,TV5,261.0,0.0,durgesh.png,Kandula Durgesh,JSP,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZkX0DRaq-AM,2022-09-30,-0.9147358536720276,1805.0,TV5,292.0,1.0,durgesh.png,Kandula Durgesh,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k1uawtwi-v4,2022-10-03,0.9938602447509766,860.0,Sakshi,444.0,1.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
v_Cb3U2gDs8,2022-10-12,-0.9924666285514832,897.0,Sakshi,593.0,3.0,durgesh.png,Kandula Durgesh,JSP,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
